Gene_names,RBBP5_vs_BirA_logFC,RBBP5_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_RBBP5_N1,Peptides_RBBP5_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_RBBP5_N1,Razor___unique_peptides_RBBP5_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_RBBP5_N1,Unique_peptides_RBBP5_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_RBBP5_N1,Identification_type_RBBP5_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_RBBP5_N1,Ratio_H_L_RBBP5_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_RBBP5_N1,Ratio_H_L_normalized_RBBP5_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____RBBP5_N1,Ratio_H_L_variability_____RBBP5_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_RBBP5_N1,Ratio_H_L_count_RBBP5_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_RBBP5_N1,Ratio_H_L_iso_count_RBBP5_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_RBBP5_N1,Ratio_H_L_type_RBBP5_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_RBBP5_N1____,Sequence_coverage_RBBP5_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_RBBP5_N1,Intensity_L_RBBP5_N1,Intensity_H_RBBP5_N1,Intensity_RBBP5_N2,Intensity_L_RBBP5_N2,Intensity_H_RBBP5_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_RBBP5_N1,metacell_Intensity_L_RBBP5_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,-0.917048247674899,0.0864547502866129,Q00341;A0A024R4E5;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7;H0Y394;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7,5;5;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,5;5;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,5;5;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHZ8|C9JHZ8_HUMAN Vigilin (Fragment) O",19,5,5,5,3,3,2,1,3,3,2,1,3,3,2,1,4.4,4.4,4.4,141.45,1268,1268;1268;141;332;224;221;164;147;126;973;128;96;81;79;69;53;46;19;17,0.0,7.481,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.807,2.4444,33.174,9,4,Leave out requantified,0.70857,0.98858,0.39876,0.095338,2.2744,2.6272,0.45092,0.10357,35.092,20.988,63.745,,3,3,2,1,0,1,2,1,Leave out requantified,Median,Median,Median,2.8,2.8,1.8,0.9,252290000,157800000,94490000,82838000,47807000,35031000,89520000,43745000,45775000,53794000,42088000,11705000,26139000,24160000,1978400,,,,1,498;5786;9471;12324;13093,True;True;True;True;True,596;7350;11878;15309;16236,1383;16631;26968;26969;34630;34631;36802;36803;36804,2327;27334;43792;43793;56241;59811;59812;59813;59814;59815;59816,2327;27334;43792;56241;59813,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-2.04797878045195,0.0292619872088111,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;2;1,9;9;4;2;1,9;9;4;2;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,7,7,4,2,7,7,4,2,7,7,4,2,52.6,52.6,52.6,25.898,234,234;234;164;48;36,0.0,20.532,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31925,0.97268,8.2039,21,8,Leave out requantified,0.26423,0.35641,0.10464,0.25052,0.91754,0.99417,0.11286,0.26289,20.4,7.1634,168.73,55.487,7,7,5,2,1,0,5,2,Leave out requantified,Leave out requantified,Median,Median,40.2,40.2,27.4,10.3,1319600000,997060000,322510000,428640000,330740000,97905000,543560000,400550000,143010000,261460000,197920000,63535000,85910000,67858000,18052000,,,,2,1554;5343;5451;7248;9387;9557;12462;13235;16535,True;True;True;True;True;True;True;True;True,1949;6742;6891;6892;9156;11783;11990;15483;16410;20451,4599;4600;15228;15229;15597;15598;15599;15600;15601;20724;20725;26740;26741;27218;27219;27220;35033;35034;37192;37193;46593,7791;24970;24971;24972;24973;24974;24975;24976;24977;24978;25630;25631;25632;25633;25634;25635;25636;25637;25638;34080;43460;44248;44249;44250;44251;44252;56897;56898;56899;56900;60483;60484;76238,7791;24975;25636;34080;43460;44251;56899;60483;76238,0,,70,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,0.664788958251641,0.165132761771516,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1,4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1,4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,16,4,4,4,1,2,2,2,1,2,2,2,1,2,2,2,3.4,3.4,3.4,119.41,1132,1132;515;742;742;1077;1126;1132;197;206;215;232;243;244;258;259;262,0.0,11.132,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59419,1.0726,86.183,6,3,Median,0.46795,0.62493,0.27243,0.9453,1.1676,1.3341,0.3175,0.98532,,9.0673,113.91,,1,2,2,1,0,0,2,1,Median,Median,Median,Median,1.1,2.0,1.9,1.8,153650000,96255000,57392000,16787000,10550000,6236800,38951000,21741000,17210000,52908000,36827000,16081000,45001000,27137000,17864000,,,,3,2427;8348;8610;9050,True;True;True;True,3059;10544;10872;11383,7174;23985;24739;24740;24741;24742;25859,12135;39226;40362;40363;40364;40365;40366;40367;40368;40369;42127,12135;39226;40364;42127,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
TAF15,-0.254236765210603,0.56576774527453,A0A075B7D9;Q92804;A0A075B7F4,A0A075B7D9;Q92804,3;2;1,3;2;1,3;2;1,TATA-binding protein-associated factor 2N,tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,3,3,3,1,1,3,2,1,1,3,2,1,1,3,2,11.1,11.1,11.1,48.839,449,449;592;214,0.0,5.3626,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.1836,0.21098,184.62,9,6,Median,0.31464,0.44007,0.16367,0.06396,1.1343,1.3016,0.18329,0.066919,,2.5173,231.57,86.897,1,2,4,2,0,0,4,2,Median,Median,Median,Median,3.8,3.8,11.1,7.8,691130000,518970000,172160000,115510000,87691000,27820000,244970000,161260000,83710000,220690000,166570000,54123000,109970000,103460000,6506100,,,,6,98;12282;15227,True;True;True,109;15262;18878,252;253;254;255;256;257;34517;34518;43039,423;424;425;426;427;428;429;430;431;432;433;434;56091;56092;70505,426;56091;70505,,,,,-1;-1;-1,protein_7,quanti,quanti,quanti,quanti
TXNRD1,0.197136107101525,0.529060501475313,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,18,18,18,11,17,11,9,11,17,11,9,11,17,11,9,38.4,38.4,38.4,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,63.49,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26399,0.78378,22.073,58,37,Leave out requantified,0.20536,0.31156,0.12253,0.092837,0.72991,0.91268,0.14882,0.10318,22.836,17.938,103.28,84.249,12,19,15,12,3,7,15,12,Leave out requantified,Leave out requantified,Median,Median,21.4,38.4,24.0,17.4,4742600000,4000900000,741680000,897440000,739040000,158400000,1170000000,845750000,324250000,1558300000,1395800000,162490000,1116900000,1020300000,96530000,,,,7,2992;3736;4334;5988;7295;7483;7507;8821;10029;11363;11364;13345;15370;15737;15767;15869;15981;16431,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3754;4634;5380;7586;9222;9223;9481;9514;9515;11112;12535;14153;14154;14155;16540;19051;19476;19526;19527;19658;19793;19794;20330,8669;8670;10572;10573;10574;10575;10576;10577;10578;12199;17137;17138;20887;20888;20889;20890;20891;20892;21480;21550;21551;21552;21553;21554;21555;21556;25293;25294;28486;28487;32066;32067;32068;32069;32070;32071;32072;37497;43450;43451;43452;43453;44403;44534;44535;44536;44537;44538;44539;44831;44832;44833;44834;45140;45141;45142;45143;45144;46326;46327;46328,14450;14451;14452;17435;17436;17437;17438;17439;17440;17441;17442;17443;20177;28175;28176;34325;34326;34327;34328;34329;34330;34331;34332;34333;34334;35188;35301;35302;35303;35304;35305;35306;35307;35308;35309;35310;35311;35312;41299;41300;41301;41302;46342;46343;46344;52186;52187;52188;52189;52190;52191;52192;52193;52194;52195;52196;60983;71192;71193;71194;71195;71196;71197;72752;72970;72971;72972;72973;72974;72975;72976;72977;72978;72979;73474;73475;73476;73477;73478;73479;73480;73481;73955;73956;73957;73958;73959;73960;73961;73962;73963;73964;73965;73966;73967;75758;75759;75760;75761;75762,14450;17437;20177;28176;34326;35188;35306;41299;46344;52191;52195;60983;71196;72752;72979;73479;73966;75759,3,,274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
GPX4,18.734192187099,7.98322430118584e-06,P36969;K7ERP4;K7EKX7;K7ENB4;A0A087X2I2;A0A087WT12;K7EJ20;A0A0A0MTT1;R4GNE4,P36969;K7ERP4;K7EKX7;K7ENB4;A0A087X2I2;A0A087WT12;K7EJ20;A0A0A0MTT1;R4GNE4,3;3;3;3;3;3;3;2;2,3;3;3;3;3;3;3;2;2,3;3;3;3;3;3;3;2;2,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;Glutathione peroxidase",sp|P36969|GPX4_HUMAN Phospholipid hydroperoxide glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX4 PE=1 SV=3;tr|K7ERP4|K7ERP4_HUMAN Glutathione peroxidase (Fragment) OS=Homo sapiens OX=9606 GN=GPX4 PE=1 SV=1;tr|K7EKX7|K7EKX7_HUMAN Glutathione peroxidas,9,3,3,3,0,0,2,1,0,0,2,1,0,0,2,1,16.8,16.8,16.8,22.174,197,197;155;175;180;196;233;242;166;179,0.0091931,1.2375,,,By MS/MS,By MS/MS,3.0346,2.9698,,1,1,Median,,,,3.0346,,,,2.9698,,,,,0,0,0,1,0,0,0,1,Median,Median,Median,Median,0.0,0.0,11.2,5.6,119290000,28069000,91225000,0,0,0,0,0,0,6386200,6386200,0,112910000,21683000,91225000,,,,8,2407;6220;16033,True;True;True,3033;7903;19853,7120;17898;45283,12060;29460;74194;74195,12060;29460;74194,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_9,quanti,quanti,imputed MEC,imputed MEC
HMOX2,0.205874827092551,0.762609339200196,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,1,1,1,4,1,1,1,4,1,1,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,9.0363,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47549,1.0139,20.534,9,5,Leave out requantified,0.5018,0.45056,0.2566,0.22618,1.563,1.0139,0.28153,0.23578,,14.057,19.913,32.478,1,4,2,2,0,1,2,2,Median,Leave out requantified,Median,Median,6.0,20.3,6.0,6.0,306320000,230440000,75874000,29652000,21118000,8533300,119410000,82523000,36883000,80530000,64069000,16461000,76729000,62731000,13997000,,,,10,2805;6061;10210;16521,True;True;True;True,3520;7677;7678;12759;20436,8143;17350;17351;17352;17353;17354;17355;28966;46558,13592;28522;28523;28524;28525;28526;28527;28528;28529;28530;28531;28532;47088;76188,13592;28528;47088;76188,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
KHSRP,-1.42548481371426,0.00861802295420091,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,15;15;9;7;5;2,13;13;7;5;4;2,13;13;7;5;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,15,13,13,13,13,6,8,11,12,6,8,11,12,6,8,26.4,23.9,23.9,73.114,711,711;711;279;169;116;269,0.0,95.412,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4357,1.3378,22.268,36,14,Leave out requantified,0.39889,0.4807,0.093042,0.17525,1.412,1.338,0.092875,0.17481,14.577,13.055,115.25,101.89,11,12,5,8,2,1,4,7,Leave out requantified,Leave out requantified,Median,Median,25.2,26.4,11.8,15.6,3001000000,2213800000,787240000,1012900000,701330000,311590000,1158500000,772440000,386020000,320000000,287950000,32042000,509650000,452060000,57584000,,,,16,666;667;857;2260;4441;4442;5591;5958;5961;6123;10044;10199;13296;14132;15486,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True,803;804;1043;2847;5527;5528;7101;7546;7549;7550;7750;12552;12745;16485;17503;19182,1858;1859;1860;1861;1862;2444;2445;2446;2447;6655;12528;12529;12530;12531;16078;16079;17054;17055;17056;17057;17060;17061;17062;17063;17064;17523;17524;17525;17526;28522;28523;28524;28939;28940;28941;37368;37369;37370;37371;39743;39744;43773;43774,3094;3095;3096;3097;3098;3099;3100;3101;3102;3103;3104;3105;3106;3107;3108;3109;3110;4090;4091;4092;4093;4094;11175;11176;20751;20752;20753;20754;26473;26474;26475;26476;28019;28020;28021;28022;28023;28024;28027;28028;28029;28030;28031;28032;28033;28034;28035;28812;28813;28814;28815;28816;28817;28818;46394;46395;46396;46397;46398;47044;47045;47046;47047;47048;47049;47050;60754;60755;60756;60757;60758;60759;60760;64895;64896;64897;64898;64899;64900;64901;71752;71753,3095;3110;4090;11176;20752;20753;26473;28021;28027;28816;46397;47045;60759;64901;71752,,,,,-1;-1;-1;-1;-1;-1,protein_17,quanti,quanti,quanti,quanti
PYCR2,-0.368789153539261,0.731182886013612,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,3,2,3,2,2,1,2,2,2,1,2,20.6,16.6,16.6,33.637,320,320;246;359;319;87;157,0.0,6.1015,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55665,1.4457,26.644,8,4,Leave out requantified,0.58045,0.4806,0.11096,0.23812,1.4289,1.2016,0.13985,0.25164,7.9277,35.738,,142.42,2,2,1,3,0,0,1,3,Median,Median,Median,Median,11.2,14.7,9.1,12.8,212390000,142620000,69774000,31401000,19066000,12335000,59603000,40066000,19536000,12003000,10950000,1052500,109380000,72534000,36850000,,,,18,4414;10001;12672;13228;15020,True;True;False;True;True,5494;5495;12502;15751;15752;16401;18614,12467;12468;28413;35676;35677;35678;35679;35680;35681;37168;37169;37170;37171;42443,20662;20663;46234;57984;57985;57986;57987;57988;57989;57990;57991;57992;57993;57994;57995;57996;57997;57998;60436;60437;60438;60439;60440;60441;60442;60443;60444;60445;60446;60447;60448;69491,20663;46234;57987;60447;69491,,,,,-1;-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
MRPL45,-20.5752565371912,2.82541165292858e-07,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,3;3;3;3,3;3;3;3,3;3;3;3,"39S ribosomal protein L45, mitochondrial","sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A087WU62|A0A087WU62_HUMAN 39S",4,3,3,3,2,2,0,0,2,2,0,0,2,2,0,0,20.3,20.3,20.3,35.351,306,306;256;256;306,0.00061425,2.2567,By MS/MS,By MS/MS,,,25.877,90.855,246.67,4,1,Linear,2.083,0.426,,,6.7229,1.07,,,382.35,50.732,,,2,2,0,0,1,0,0,0,Median,Median,Median,Median,13.7,11.1,0.0,0.0,200670000,65263000,135410000,133410000,23077000,110330000,67262000,42186000,25076000,0,0,0,0,0,0,,,,24,6882;8856;14285,True;True;True,8683;11154;17692,19671;19672;25372;40207,32331;32332;32333;32334;41411;41412;65740,32332;41411;65740,,,,,-1;-1;-1;-1,protein_25,imputed MEC,imputed MEC,quanti,quanti
