RBBP5_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (RBBP5_vs_zCtl),P_Value (RBBP5_vs_zCtl),isDifferential (RBBP5_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
HDLBP,-0.0629905387,0.939605641512108,0,Q00341;A0A024R4E5;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7;H0Y394;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7,5;5;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,5;5;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,5;5;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHZ8|C9JHZ8_HUMAN Vigilin (Fragment) O",5,5,4.4,1268
PSMA2,1.1163356002,0.0675797256146469,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;2;1,9;9;4;2;1,9;9;4;2;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,9,9,52.6,234
BAG6;BAT3,1.9471259563,0.032715954362132,1,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1,4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1,4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,4,4,3.4,1132
TAF15,0.1761198479,0.766495242818931,0,A0A075B7D9;Q92804;A0A075B7F4,A0A075B7D9;Q92804,3;2;1,3;2;1,3;2;1,TATA-binding protein-associated factor 2N,TAF15,tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,3,11.1,449
TXNRD1,0.7929423326,0.0576778110042451,0,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",18,18,38.4,649
HMOX2,1.0579019436,0.0177068329232466,1,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,4,4,20.3,316
KHSRP,0.2609418803,0.499611536243464,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,15;15;9;7;5;2,13;13;7;5;4;2,13;13;7;5;4;2,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,15,13,26.4,711
PYCR2,0.3386815536,0.486578957071186,0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,PYCR2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,5,4,20.6,320
