Gene_names,TLE1_vs_BirA_logFC,TLE1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_TLE1_N1,Peptides_TLE1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_TLE1_N1,Razor___unique_peptides_TLE1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_TLE1_N1,Unique_peptides_TLE1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_TLE1_N1,Identification_type_TLE1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_TLE1_N1,Ratio_H_L_TLE1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_TLE1_N1,Ratio_H_L_normalized_TLE1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____TLE1_N1,Ratio_H_L_variability_____TLE1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_TLE1_N1,Ratio_H_L_count_TLE1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_TLE1_N1,Ratio_H_L_iso_count_TLE1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_TLE1_N1,Ratio_H_L_type_TLE1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_TLE1_N1____,Sequence_coverage_TLE1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_TLE1_N1,Intensity_L_TLE1_N1,Intensity_H_TLE1_N1,Intensity_TLE1_N2,Intensity_L_TLE1_N2,Intensity_H_TLE1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_TLE1_N1,metacell_Intensity_L_TLE1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,1.24852125620346,0.0327986380478466,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;C9J5E5;C9JZI8;C9JES8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;C9J5E5;C9JZI8;C9JES8;C9JHS7,8;8;5;4;4;4;4;4;4;3;3;2;2;2;2;2;1;1,8;8;5;4;4;4;4;4;4;3;3;2;2;2;2;2;1;1,4;4;3;3;1;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",18,8,8,4,3,4,4,7,3,4,4,7,2,3,1,3,7.5,7.5,3.8,141.45,1268,1268;1268;224;141;973;221;164;147;126;128;96;81;79;69;53;46;19;17,0.0,14.823,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.74202,1.7781,18.982,21,4,Leave out requantified,0.70857,0.98858,0.79176,0.58058,2.2744,2.547,1.9627,1.692,35.092,19.513,14.473,20.424,3,4,4,10,0,1,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,2.8,4.0,3.7,6.8,620090000,362360000,257730000,82838000,47807000,35031000,103830000,48663000,55162000,96276000,54931000,41345000,337150000,210960000,126190000,,,,1,571;1829;1980;7019;8644;11748;15375;16277,True;True;True;True;True;True;True;True,689;690;2332;2516;9233;11358;11359;15485;20004;21122,1558;1559;1560;5431;5877;5878;20626;20627;25359;25360;34419;34420;34421;34422;44239;44240;46887;46888;46889;46890;46891,2887;2888;2889;2890;2891;10102;10910;37707;46375;46376;61925;61926;61927;61928;61929;61930;79242;84003;84004;84005;84006;84007;84008;84009;84010;84011;84012,2889;10102;10910;37707;46375;61930;79242;84012,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-3.03529838692628,0.0121474872365763,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,10;10;4;3;1,10;10;4;3;1,10;10;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,10,10,10,8,8,3,2,8,8,3,2,8,8,3,2,53.8,53.8,53.8,25.898,234,234;234;164;48;36,0.0,18.903,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29128,0.93813,25.08,22,2,Leave out requantified,0.2832,0.35815,0.27782,0.25606,0.91895,0.99766,0.5552,0.66152,20.977,11.69,22.157,21.846,8,8,4,2,1,0,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Median,41.5,41.5,22.2,14.1,1233900000,919680000,314190000,483000000,371200000,111810000,617120000,451360000,165760000,87314000,61149000,26165000,46428000,35971000,10457000,,,,3,497;1833;6446;6586;8827;11640;11845;15529;16442;20476,True;True;True;True;True;True;True;True;True;True,601;2336;8415;8416;8628;8629;11652;15360;15619;20203;21315;26451,1358;1359;5437;5438;18735;18736;18737;18738;19260;19261;19262;25973;25974;34138;34139;34140;34730;34731;44704;44705;47369;59023,2484;2485;10108;34219;34220;34221;34222;34223;34224;34225;34226;34227;34228;34229;34230;35207;35208;35209;35210;35211;35212;47419;61470;62542;62543;62544;62545;80141;80142;80143;80144;84895;84896;106626,2484;10108;34229;35207;47419;61470;62542;80144;84896;106626,1,,64,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,0.196387171057516,0.691483467557237,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,4.5887,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.70168,1.6,1.9388,7,0,Leave out requantified,0.46795,0.62493,0.95489,0.77003,1.1676,1.3341,2.1128,1.6853,,9.0673,12.503,5.4076,1,2,2,2,0,0,0,0,Median,Median,Median,Median,1.1,2.0,2.0,2.0,117380000,65026000,52350000,16787000,10550000,6236800,38951000,21741000,17210000,28542000,14885000,13657000,33097000,17851000,15246000,,,,4,10280;10613,True;True,13624;14074,30344;30345;30346;31361;31362;31363;31364,55015;55016;55017;56709;56710;56711;56712;56713;56714;56715;56716;56717;56718,55016;56711,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,0.0557975250109912,0.868469259828268,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,6;6;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,6,2,2,1,1,4,6,1,1,2,2,1,1,2,2,10.0,5.9,5.9,61.829,592,592;449;214,0.0,5.8665,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36937,1.1284,1.5295,10,1,Leave out requantified,0.31464,0.44007,0.4032,0.31531,1.1343,1.3016,1.0392,1.1193,,2.5173,14.948,9.0077,1,2,3,4,0,0,0,1,Median,Median,Median,Median,2.9,2.9,7.6,10.0,695670000,493940000,201730000,115510000,87691000,27820000,244970000,161260000,83710000,116180000,83447000,32734000,219010000,161550000,57468000,,,,10,119;120;5196;14140;14141;15325,False;True;False;False;False;True,138;139;6644;18437;18438;18439;19943,295;296;297;298;299;300;301;14770;40857;40858;40859;40860;40861;40862;44105;44106;44107;44108,562;563;564;565;566;567;568;569;570;571;572;573;574;575;576;27028;73502;73503;73504;73505;73506;73507;73508;79037;79038;79039;79040,563;575;27028;73504;73508;79038,2;3,,261;265,,-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
TXNRD1,-2.17075978571075,0.000762446364090452,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1;1,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1;1,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,17,17,17,10,16,5,6,10,16,5,6,10,16,5,6,38.4,38.4,38.4,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,40.369,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30221,0.78378,21.644,41,12,Leave out requantified,0.20536,0.31156,0.45276,0.27643,0.72991,0.91268,1.092,0.89057,22.836,17.938,6.5906,9.0268,12,18,5,6,3,6,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.4,38.4,12.3,14.9,2472800000,1883100000,589700000,894700000,733610000,161090000,1112900000,805050000,307850000,158570000,109370000,49202000,306580000,235020000,71561000,,,,11,3591;4527;5247;7256;8892;9181;9211;12405;14063;14064;16564;19067;19516;19555;19677;19811;20362,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4574;5758;6719;9520;11760;12214;12260;16298;18350;18351;21463;24679;25233;25294;25456;25620;26314,10322;10323;12818;12819;12820;12821;12822;12823;14921;21258;21259;26245;27186;27282;27283;27284;27285;36267;36268;40680;40681;40682;40683;40684;40685;47721;55085;55086;55087;55088;56329;56496;56497;56498;56499;56868;57247;57248;57249;57250;58726,19052;19053;19054;23397;23398;23399;23400;23401;23402;23403;23404;23405;27291;38824;38825;47876;49309;49438;49439;49440;49441;49442;49443;49444;49445;65343;65344;65345;73218;73219;73220;73221;73222;73223;73224;73225;73226;73227;73228;85533;99563;99564;99565;99566;99567;99568;99569;101867;102210;102211;102212;102213;102214;102215;102216;102217;102218;102219;102220;102221;102222;102927;102928;102929;103567;103568;103569;103570;103571;103572;103573;103574;103575;103576;103577;103578;106086;106087,19054;23400;27291;38824;47876;49309;49444;65345;73223;73228;85533;99569;101867;102212;102927;103569;106087,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
HMOX2,1.98092423454342,0.0223642678988463,P30519;I3L159;I3L1F5;A0A087WT44;I3L276;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1;1,4;4;4;4;1;1;1;1;1,4;4;4;4;1;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,9,4,4,4,1,3,2,3,1,3,2,3,1,3,2,3,18.7,18.7,18.7,36.032,316,316;229;238;370;110;110;130;131;132,0.0,13.425,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45056,1.0644,24.941,12,2,Leave out requantified,0.5018,0.45056,0.61481,0.31838,1.563,0.94976,1.6095,1.0904,,18.691,15.537,24.911,1,3,3,5,0,1,0,1,Median,Median,Plateau,Leave out requantified,6.0,13.0,8.9,14.6,575790000,396860000,178940000,29652000,21118000,8533300,95160000,65726000,29434000,141080000,84697000,56386000,309900000,225320000,84583000,,,,13,7344;12615;13263;20459,True;True;True;True,9628;9629;16550;17355;26433,21513;21514;21515;21516;21517;21518;21519;36780;36781;36782;38543;58986,39281;39282;39283;39284;39285;39286;39287;39288;39289;39290;39291;39292;39293;39294;39295;39296;39297;39298;39299;39300;39301;39302;39303;39304;39305;39306;39307;39308;66164;66165;69347;69348;69349;106571,39292;66164;69348;106571,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
EIF2B4,0.452705973598302,0.300399873813645,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,2,2,2,1,2,2,2,1,2,2,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,6.4415,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38947,1.1202,1.674,7,2,Leave out requantified,1.1583,0.43715,0.37386,0.3251,3.831,1.107,0.88487,1.0434,166.4,,22.68,24.063,2,1,2,2,1,0,0,1,Median,Median,Median,Median,4.4,2.1,5.4,5.4,218300000,135010000,83292000,75850000,34652000,41198000,32800000,23465000,9334600,37806000,26858000,10948000,71846000,50035000,21812000,,,,14,14619;18425;19340,True;True;True,19064;23801;25007,42175;42176;53035;53036;53037;53038;55827,75732;75733;75734;75735;75736;75737;75738;95706;95707;95708;95709;95710;95711;95712;95713;100900,75737;95707;100900,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
NDUFS7,1.29750069193661,0.0124484249344472,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,3,3,3,1,1,2,2,1,1,2,2,1,1,2,2,16.0,16.0,16.0,23.563,213,213;182;214;214;236,0.0,3.061,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.69504,1.6882,31.222,6,1,Leave out requantified,0.57883,0.59369,1.0083,0.88816,1.3537,1.2412,2.3371,2.5326,,,17.519,58.437,1,1,2,2,0,0,0,1,Median,Median,Median,Median,5.2,5.2,11.7,10.8,120070000,60372000,59696000,14775000,8271000,6504300,17203000,9797200,7405800,36424000,17228000,19196000,51665000,25075000,26590000,,,,17,9596;14386;20050,True;True;True,12771;18759;25910,28505;41522;41523;57869;57870;57871,51655;74634;74635;104599,51655;74635;104599,,,,,-1;-1;-1;-1;-1,protein_18,quanti,quanti,quanti,quanti
KHSRP,0.31230187226603,0.253868936934103,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0R251;M0QYG1;M0R263;M0R0C6,Q92945;A0A087WTP3;M0R0I5,25;25;14;9;6;3;1;1;1;1,21;21;11;6;5;2;0;0;0;0,21;21;11;6;5;2;0;0;0;0,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,10,25,21,21,12,13,18,15,10,12,15,14,10,12,15,14,38.5,33.8,33.8,73.114,711,711;711;279;169;116;269;79;114;143;176,0.0,71.241,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46362,1.3654,12.467,58,16,Leave out requantified,0.39889,0.4807,0.52128,0.40293,1.412,1.338,1.3436,1.3911,14.577,13.055,16.871,26.118,10,12,16,20,1,1,5,9,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,28.8,27.7,4687000000,3217400000,1469600000,976380000,671810000,304580000,1158500000,772440000,386020000,913210000,603640000,309570000,1639000000,1169500000,469470000,,,,19,760;761;995;1095;2373;2668;5371;5372;5373;5385;5386;6763;6900;6901;7226;7230;7417;8535;8830;9495;12420;12597;16505;17536;19215,False;False;True;True;False;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,934;935;936;937;1236;1378;3021;3382;6922;6923;6924;6925;6942;6943;8906;8907;9093;9094;9095;9479;9483;9484;9719;11196;11655;11656;12635;16315;16529;16530;21396;22689;24860,2129;2130;2131;2132;2133;2134;2135;2859;2860;2861;2862;3205;7033;7803;7804;15438;15439;15440;15441;15442;15482;15483;19915;19916;19917;19918;19919;19920;20314;20315;20316;21159;21160;21161;21165;21166;21167;21168;21169;21734;21735;21736;21737;21738;25058;25979;25980;25981;28141;36301;36302;36303;36304;36737;36738;36739;36740;36741;47563;47564;47565;47566;47567;50441;50442;50443;50444;55503;55504,3914;3915;3916;3917;3918;3919;3920;3921;3922;3923;3924;3925;3926;3927;3928;3929;3930;3931;3932;5294;5295;5296;5297;5298;5299;5300;5301;5922;13061;14347;14348;14349;28299;28300;28301;28302;28303;28304;28305;28382;28383;28384;36478;36479;36480;36481;36482;36483;36484;36485;36486;36487;36488;36489;36490;36491;36492;36493;36494;36495;36496;36497;36498;36499;36500;37162;37163;37164;37165;37166;38623;38624;38625;38626;38627;38628;38632;38633;38634;38635;38636;38637;38638;38639;38640;38641;38642;38643;38644;38645;38646;38647;38648;38649;39738;39739;39740;39741;39742;39743;39744;39745;39746;39747;39748;39749;39750;45862;47426;47427;47428;50966;65400;65401;65402;65403;65404;65405;65406;65407;66102;66103;66104;66105;66106;66107;66108;66109;66110;85232;85233;85234;85235;85236;85237;85238;85239;85240;90681;90682;90683;100369;100370;100371;100372,3916;3924;5295;5922;13061;14347;28299;28301;28304;28382;28383;36480;37164;37166;38624;38645;39743;45862;47427;50966;65406;66102;85232;90681;100370,5;6;7;8,,205;251;257;627,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_20,quanti,quanti,quanti,quanti
HNRNPDL,0.804602590064079,0.070102856982942,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,40.4,40.4,40.4,6.7215,57,57,0.0014245,1.8398,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30404,0.77887,32.79,7,0,Leave out requantified,0.33858,0.32527,0.33675,0.22194,1.0106,0.70866,0.8418,0.59189,,46.15,12.38,32.754,1,2,2,2,0,0,0,0,Median,Median,Median,Median,40.4,40.4,40.4,31.6,177530000,134700000,42829000,27175000,19945000,7229600,44137000,31308000,12829000,45013000,33983000,11030000,61204000,49464000,11740000,,,,23,12207;12208,True;True,16055;16056,35717;35718;35719;35720;35721;35722;35723,64308;64309;64310;64311;64312;64313;64314;64315;64316;64317;64318;64319;64320;64321,64311;64315,,,,,-1,protein_24,quanti,quanti,quanti,quanti
