Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity FBXW5-N1,Intensity FBXW5-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.1990986663671,4.21659383839466,25.4010964315382,25.3548105652978
E9PQA8;P11310;E9PLN7;E9PRX4;E9PJM9;Q5T4U5,E9PQA8;P11310;E9PLN7;E9PRX4;E9PJM9;Q5T4U5,2;1;1;1;1;1,2;1;1;1;1;1,2;1;1;1;1;1,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,"tr|E9PQA8|E9PQA8_HUMAN Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=4 SV=1;sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|E9",2,2,60.0,22.3655161513663,22.3637378088369,23.6487788683438,25.9212071641571
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,28.6131232498525,27.787184592111,30.652154860577,30.463339894737
P68133;P68032;P62736;P63267;A6NL76;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6,P68133;P68032;P62736;P63267;A6NL76,15;15;13;13;12;6;6;6;6;6,2;2;1;1;2;1;1;1;1;1,2;2;1;1;2;1;1;1;1;1,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA1;ACTC1;ACTA2;ACTG2,"sp|P68133|ACTS_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;sp|P62736|ACTA_HUMAN Actin, aortic smooth muscle OS=Homo sapiens OX=9",15,2,33.2,29.0751303552025,28.1236147481775,28.917353594158,28.4595146682324
P55265,P55265,29,29,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,29,2,32.5,25.9465263473434,24.9332357218283,30.2859281605847,29.8740244273315
Q96HN2;H0Y8B3;C9K0S0,Q96HN2;H0Y8B3,6;5;1,2;1;1,2;1;1,Putative adenosylhomocysteinase 3;Adenosylhomocysteinase,AHCYL2,sp|Q96HN2|SAHH3_HUMAN Adenosylhomocysteinase 3 OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,11.1,4.1990986663671,4.21659383839466,22.9306485579508,23.4636361216132
E7ET48;Q8N1P7;E9PIR9;E7EX92,E7ET48;Q8N1P7;E9PIR9;E7EX92,2;2;2;1,2;2;2;1,2;2;2;1,Absent in melanoma 1-like protein,AIM1L,tr|E7ET48|E7ET48_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=1 SV=2;sp|Q8N1P7|CRBG2_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=2 SV=2;tr|E9PIR9|E9PIR9_HUMAN,2,2,1.4,26.7095251415089,25.8018346397202,24.3118824352119,26.5821895409773
P04075;H3BMQ8;H3BUH7;H3BR04;H3BQN4;J3KPS3;H3BPS8,P04075;H3BMQ8;H3BUH7;H3BR04;H3BQN4;J3KPS3;H3BPS8,2;2;2;2;2;2;1,2;2;2;2;2;2;1,2;2;2;2;2;2;1,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,sp|P04075|ALDOA_HUMAN Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2;tr|H3BMQ8|H3BMQ8_HUMAN Fructose-bisphosphate aldolase A (Fragment) OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=1;tr|H3BUH7|H3BUH7_HUMAN Fructose-bisphosphate ald,2,2,7.4,20.6833750344578,23.4766720503561,4.47839057686436,4.38736295845818
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,25.12289433077,25.2704564547734,22.7074829937707,24.4367608419954
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.1990986663671,4.21659383839466,23.3003369184145,21.8010452032896
