DCAF5_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (DCAF5_vs_zCtl),P_Value (DCAF5_vs_zCtl),isDifferential (DCAF5_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
HDLBP,-0.0055226186,0.98309183861878,0,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JHS7;C9JES8;C9JHZ8;C9JK79;C9JT62;H7C2D1;C9J739;C9JHN6;C9JEJ8;C9JBS3;H7BZC3;C9JQ82;C9JMQ6;C9JHS9,Q00341;A0A024R4E5;H0Y394,15;15;10;7;5;4;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1,15;15;10;7;5;4;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1,15;15;10;7;5;4;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",15,15,18.8,1268
EHD1,-0.4235423732,0.0103090722967209,0,Q9H4M9;A0A024R571;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1;Q9NZN4,Q9H4M9;A0A024R571;C9JC03;C9J2Z4,23;23;16;12;7;6;6;1,23;23;16;12;7;6;6;1,13;13;6;6;2;2;2;0,EH domain-containing protein 1,EHD1,sp|Q9H4M9|EHD1_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=2;tr|A0A024R571|A0A024R571_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=1;tr|C9JC03|C9JC03_HUMAN EH domain-containing protein 1 (Fra,23,13,66.3,534
PSMA2,0.0328543583,0.788051760401032,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,10;10;5;2;1,10;10;5;2;1,10;10;5;2;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,10,10,53,234
BAG6;BAT3,0.3612664112,0.0246163559944258,0,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2;F6UR09;F6U341;F6VEM6;F6WML8;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;H0Y710;H0Y4L1,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47,9;9;9;9;4;4;4;2;2;2;2;2;2;2;2;1;1,9;9;9;9;4;4;4;2;2;2;2;2;2;2;2;1;1,7;7;7;7;2;2;2;0;0;0;0;0;0;0;0;1;1,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,9,7,11.7,1132
TXNRD1,-0.0917553213,0.575413873129862,0,Q16881;A0A087WSW9;A0A087WSY9;F8W809;A0A182DWI3;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A096LPD9;E7EWK1,Q16881;A0A087WSW9;A0A087WSY9;F8W809;A0A182DWI3;E9PIR7;E2QRB9,26;26;26;25;25;23;22;11;7;6;4;4;3;1;1;1,26;26;26;25;25;23;22;11;7;6;4;4;3;1;1;1,25;25;25;24;24;22;21;10;6;5;3;3;3;1;0;0,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSW9|A0A087WSW9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxi",26,25,58.1,649
DCAF13,-0.2654629062,0.783656590748929,0,Q9NV06;A0A087WT20;B3KME9;E5RHM4;A0A087X1F8,Q9NV06;A0A087WT20;B3KME9,7;7;5;2;2,7;7;5;2;2,7;7;5;2;2,DDB1- and CUL4-associated factor 13,DCAF13,sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=2;tr|A0A087WT20|A0A087WT20_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=1;tr|B3KME9|B3KME9_HUMAN DDB1- and CUL4-assoc,7,7,20,445
HMOX2,0.3005563119,0.0598427047868712,0,P30519;A0A087WT44;I3L159;I3L1F5;I3L276;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;A0A087WT44;I3L159;I3L1F5,9;9;7;7;3;3;3;3;3,9;9;7;7;3;3;3;3;3,9;9;7;7;3;3;3;3;3,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,9,9,44.6,316
EIF2B4,-0.1480043117,0.460587650132221,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6;F8WEV6,Q9UI10;A0A087WTA5;E7ERK9,7;7;6;3;3;2;1,7;7;6;3;3;2;1,7;7;6;3;3;2;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,7,7,21.4,523
