WDR26_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (WDR26_vs_zCtl),P_Value (WDR26_vs_zCtl),isDifferential (WDR26_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Unique_sequence_coverage____
CDK1;CDC2,-0.3158734628,0.0616041366699047,0,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,13;13;9;8;2;2;2;1,13;13;9;8;2;2;2;1,11;11;7;6;0;0;0;0,Cyclin-dependent kinase 1,CDK1;CDC2,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",13,11,48.5,45.8
HDLBP,-0.1252453275,0.563841423138312,0,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",6,6,6.2,6.2
PSMA2,0.2072434759,0.479988270092753,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,9,9,41.9,41.9
BAG6;BAT3,0.1137397809,0.44345841615988,0,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2;F6UR09;F6U341;F6TC96;F6VEM6;F6WML8;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;F6X9W3,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2,3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1,3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1,3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,3,3,2.7,2.7
TAF15,-0.1516372991,0.318843225097225,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,4,2,8.3,5.9
TXNRD1,0.2364963009,0.208612823711275,0,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E9PIR7;E2QRB9;E9PKD3,17;17;17;17;17;16;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;16;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;16;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",17,17,37.8,37.8
HMOX2,-0.0625854455,0.676215653182447,0,P30519;I3L159;I3L1F5;A0A087WT44;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,7;7;7;7;3;3;3;2;1,7;7;7;7;3;3;3;2;1,7;7;7;7;3;3;3;2;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,7,7,35.1,35.1
EIF2B4,-0.7378292889,0.252179985406716,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,2,2,4.4,4.4
