WDR12_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (WDR12_vs_zCtl),P_Value (WDR12_vs_zCtl),isDifferential (WDR12_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
HDLBP,-0.1133342968,0.668160073018695,0,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JHZ8;H7C2D1;C9JHS7;C9JES8;C9JK79;C9JT62;C9J739;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9JHS9,Q00341;A0A024R4E5;H0Y394,15;15;10;7;5;4;4;3;3;3;3;2;2;1;1;1;1;1;1;1,15;15;10;7;5;4;4;3;3;3;3;2;2;1;1;1;1;1;1;1,15;15;10;7;5;4;4;3;3;3;3;2;2;1;1;1;1;1;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",15,15,17.4,1268
EHD1,-0.5368810482,0.00537475608323213,0,Q9H4M9;A0A024R571;C9JC03;C9J2Z4;C9JIJ3;C9IZH1;C9JDQ8;Q9NZN4,Q9H4M9;A0A024R571;C9JC03,18;18;13;8;5;5;5;1,18;18;13;8;5;5;5;1,9;9;4;3;1;1;1;0,EH domain-containing protein 1,EHD1,sp|Q9H4M9|EHD1_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=2;tr|A0A024R571|A0A024R571_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=1;tr|C9JC03|C9JC03_HUMAN EH domain-containing protein 1 (Fra,18,9,54.3,534
PSMA2,0.0162607495,0.866011011946527,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,10;10;5;2;1,10;10;5;2;1,10;10;5;2;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,10,10,53,234
NUDT4;NUDT11;NUDT10,0.1575602949,0.392933408933895,0,A0A024RBG1;Q96G61;Q8NFP7;Q9NZJ9;F8VRL4;F8VRR0;A0A0C4DGJ4,A0A024RBG1;Q96G61;Q8NFP7;Q9NZJ9,3;2;2;2;1;1;1,3;2;2;2;1;1;1,2;1;1;1;1;1;1,Diphosphoinositol polyphosphate phosphohydrolase 3-beta;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha;Diphosphoinositol polyphosphate phosphohydrolase 2,NUDT4;NUDT11;NUDT10,sp|A0A024RBG1|NUD4B_HUMAN Diphosphoinositol polyphosphate phosphohydrolase NUDT4B OS=Homo sapiens OX=9606 GN=NUDT4B PE=3 SV=1;sp|Q96G61|NUD11_HUMAN Diphosphoinositol polyphosphate phosphohydrolase 3-beta OS=Homo sapiens OX=9606 GN=NUDT11 PE=1 SV=1;sp|Q8NFP,3,2,18.8,181
BAG6;BAT3,0.3217040961,0.088405476908893,0,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2;F6X9W3;F6U341;F6VEM6;F6UR09;F6WML8;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;H0Y710;H0Y4L1,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47,9;9;9;9;4;4;4;2;2;2;2;2;2;2;2;2;1;1,9;9;9;9;4;4;4;2;2;2;2;2;2;2;2;2;1;1,9;9;9;9;4;4;4;2;2;2;2;2;2;2;2;2;1;1,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,9,9,11.7,1132
TXNRD1,0.0858397535,0.60737206797367,0,Q16881;A0A087WSW9;A0A087WSY9;F8W809;A0A182DWI3;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A096LPD9;E7EWK1,Q16881;A0A087WSW9;A0A087WSY9;F8W809;A0A182DWI3;E9PIR7;E2QRB9,23;23;23;22;22;21;19;11;7;6;4;4;3;1;1;1,23;23;23;22;22;21;19;11;7;6;4;4;3;1;1;1,22;22;22;21;21;20;18;10;6;5;3;3;3;1;0;0,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSW9|A0A087WSW9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxi",23,22,57.2,649
DCAF13,0.0984035554,0.927895702487703,0,Q9NV06;A0A087WT20;B3KME9;E5RHM4;A0A087X1F8,Q9NV06;A0A087WT20;B3KME9,7;7;5;2;2,7;7;5;2;2,7;7;5;2;2,DDB1- and CUL4-associated factor 13,DCAF13,sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=2;tr|A0A087WT20|A0A087WT20_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=1;tr|B3KME9|B3KME9_HUMAN DDB1- and CUL4-assoc,7,7,20,445
HMOX2,0.2902462101,0.0561495664645895,0,P30519;A0A087WT44;I3L159;I3L1F5;I3L276;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;A0A087WT44;I3L159;I3L1F5,9;9;7;7;3;3;3;3;3,9;9;7;7;3;3;3;3;3,9;9;7;7;3;3;3;3;3,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,9,9,44.6,316
