DCAF4_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (DCAF4_vs_zCtl),P_Value (DCAF4_vs_zCtl),isDifferential (DCAF4_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
SERPINB6,-0.5826664219,0.00428267486704384,0,P35237;A0A2R8Y6A7;A0A2R8YD12;A0A024QZX5;A0A087X1N8,P35237;A0A2R8Y6A7;A0A2R8YD12;A0A024QZX5;A0A087X1N8,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Serpin B6,SERPINB6,sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0A2R8Y6A7|A0A2R8Y6A7_HUMAN Serpin B6 (Fragment) OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A2R8YD12|A0A2R8YD12_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1,1,1,2.7,376
HDLBP,-0.2826361985,0.0938716782269104,0,Q00341;A0A024R4E5;H7C0A4;C9JIZ1;H0Y394;C9J5E5;C9JZI8;C9JHZ8;C9JES8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;H7C0A4;C9JIZ1;H0Y394;C9J5E5;C9JZI8,7;7;5;5;4;4;4;3;3;3;2;2;2;2;2;2;2;1;1,7;7;5;5;4;4;4;3;3;3;2;2;2;2;2;2;2;1;1,7;7;5;5;4;4;4;3;3;3;2;2;2;2;2;2;2;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H7C0A4|H7C0A4_HUMAN Vigilin (Fragment) O",7,7,6.9,1268
PSMA2,-0.0370314798,0.694452660112397,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,11;11;5;3;1,11;11;5;3;1,11;11;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,11,11,46.6,234
BAG6;BAT3,-0.1721546831,0.162090551424784,0,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,2,2,2,1132
TAF15,-1.2161632626,0.204195019973389,0,Q92804;A0A075B7D9,Q92804;A0A075B7D9,1;1,1;1,1;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,1,1,2.9,592
TXNRD1,0.8879671675,0.00321200987308908,0,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,18;18;18;18;18;18;15;10;5;5;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;10;5;5;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;10;5;5;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",18,18,44.4,649
HMOX2,0.1130324653,0.569777459809977,0,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,4,4,20.3,316
EIF2B4,-0.6892200871,0.308451511478598,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,2,2,4.4,523
KHSRP,-0.0398206471,0.646321940938728,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,22;22;12;10;7;2,19;19;9;7;6;2,19;19;9;7;6;2,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,22,19,35.4,711
HNRNPDL,-0.2994376162,0.11757595303876,0,A0A087WU03,A0A087WU03,2,2,2,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,2,40.4,57
POLA1,0.380066641,0.046438126184357,0,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,4;4;4,4;4;4,4;4;4,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,4,4,6.1,1462
CTNNBL1,-0.4683955691,0.009374123782678,0,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,5;5;1,5;5;1,5;5;1,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,5,5,12.1,563
HNRNPDL,-0.3789606084,0.0166551285707672,0,O14979;A0A087WUK2,O14979;A0A087WUK2,9;9,7;7,7;7,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,9,7,21,420
EIF5B,-0.1488843534,0.139933729773542,0,O60841;A0A087WUT6,O60841;A0A087WUT6,7;7,7;7,7;7,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,7,7,9.9,1220
