Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF6-N1,Intensity DCAF6-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
A0A222,A0A222,39,39,39,,A0A222,sp|A0A222|BIRA_HUMAN BirA R118G OS=Homo sapiens GN=BIRA,39,39,91.9,34.1919000878818,35.3105407150663,39.586774330864,39.8539177762947
A0A3B3ISK4;A0A3B3IUA2,A0A3B3ISK4;A0A3B3IUA2,2;2,2;2,2;2,,A0A3B3ISK4;A0A3B3IUA2,tr|A0A3B3ISK4|A0A3B3ISK4_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=4 SV=1;tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1,2,2,22.4,3.85926602610109,3.93616518704728,24.7270757920008,23.5134018395649
A0A096LP25;Q6ZSR9;A0A096LNZ0,A0A096LP25;Q6ZSR9;A0A096LNZ0,13;10;9,11;10;7,11;10;7,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,13,11,37.4,22.6661663749059,22.8261535428874,29.8647870995758,29.7176094389667
Q2M2I8;E9PG46;A0A096LP60;Q9NSY1;K4DI97,Q2M2I8;E9PG46,21;17;2;1;1,21;17;2;1;1,19;17;0;1;1,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,21,19,27.2,23.3014469154866,23.7451958648623,30.2966880364883,30.2377442112063
P49588;H3BPK7,P49588,22;7,22;7,22;7,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",22,22,26.3,3.85926602610109,3.93616518704728,28.5236891876982,28.6240445892271
Q4L235;R4GNB1,Q4L235;R4GNB1,5;5,5;5,5;5,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,5,5,6.8,3.85926602610109,3.93616518704728,25.154952502708,25.6325907966946
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,3,10.7,3.85926602610109,3.93616518704728,24.8779251409578,24.397412467283
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,1.3,22.5989266027465,22.662208525241,23.3742467175465,23.3457692737079
Q9BZC7;J3QSS3;A0A087WXK5;E9PGB2;H0Y8D6,Q9BZC7;J3QSS3;A0A087WXK5;E9PGB2;H0Y8D6,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,ATP-binding cassette sub-family A member 2,ABCA2,sp|Q9BZC7|ABCA2_HUMAN ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2 PE=1 SV=4;tr|J3QSS3|J3QSS3_HUMAN ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2 PE=1 SV=2;tr|A0A087WXK5|A0A087WXK5_HUMAN ATP-bind,2,2,2.0,23.1476825269713,24.1835905582237,24.9505918051553,24.5483379356177
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,10;10,10;10,10;10,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,10,10,19.7,3.85926602610109,3.93616518704728,27.4180416150175,27.6502041855955
