FBXW8_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (FBXW8_vs_zCtl),P_Value (FBXW8_vs_zCtl),isDifferential (FBXW8_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
SERPINB6,-1.0121003506,0.00047275011041866,1,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,Serpin B6,SERPINB6,sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0A2R8YD12|A0A2R8YD12_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0,2,2,6.6,376
HDLBP,-0.3854443359,0.0242038832778891,0,Q00341;A0A024R4E5;H0Y394;C9JIZ1;C9JHZ8;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C2D1;C9JHS9,Q00341;A0A024R4E5;H0Y394;C9JIZ1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",7,7,8,1268
PSMA2,0.1002148179,0.361575022741305,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,11;11;6;3;1,11;11;6;3;1,11;11;6;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,11,11,50,234
BAG6;BAT3,-0.167427909,0.270765200128154,0,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,2,2,2,1132
TAF15,-0.3972729539,0.0218134305319156,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,2,2,5.9,592
TXNRD1,0.8218578816,0.00423151790980319,0,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",16,16,34.2,649
HMOX2,0.4480174551,0.0753883709938338,0,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,4,4,20.3,316
EIF2B4,-0.7470019376,0.271811871536019,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,4;4;4;1;1;1,4;4;4;1;1;1,4;4;4;1;1;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,4,4,12.6,523
KHSRP,-0.1295148785,0.273991936177336,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,19;19;12;9;5;2,16;16;9;6;4;2,16;16;9;6;4;2,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,19,16,34.5,711
PYCR2,-0.4455388878,0.0897175148522859,0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,PYCR2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,5,4,20.6,320
HNRNPDL,-0.1751695256,0.375280117490668,0,A0A087WU03,A0A087WU03,2,2,2,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,2,40.4,57
POLA1,0.4179613594,0.0191877345139142,0,P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,1;1;1,1;1;1,1;1;1,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,1,1,0.5,1462
CTNNBL1,-0.4528947567,0.0139988651897863,0,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,7;7;1,7;7;1,7;7;1,Beta-catenin-like protein 1,CTNNBL1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,7,7,14.9,563
HNRNPDL,-0.139632143,0.274714977811114,0,O14979;A0A087WUK2,O14979;A0A087WUK2,13;13,13;13,11;11,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,13,11,32.6,420
SLIRP,-0.2371882041,0.0726049140577589,0,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1;H0YJ07;H0YJU7,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,"sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",6,6,67.9,109
EIF5B,0.0741716824,0.592376868072864,0,O60841;A0A087WUT6,O60841;A0A087WUT6,7;7,7;7,7;7,Eukaryotic translation initiation factor 5B,EIF5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,7,7,10.4,1220
BSG,-0.1054368974,0.513422138228535,0,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,4;4;4;3;3;2,4;4;4;3;3;2,4;4;4;3;3;2,Basigin,BSG,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,4,4,12.7,385
SPTBN1,-0.4332144993,0.0193899128727638,0,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,26;26;7,26;26;7,26;26;7,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",26,26,16.8,2364
NAT10,0.123674628,0.223176017146515,0,Q9H0A0;A0A087WV29,Q9H0A0;A0A087WV29,3;3,3;3,3;3,N-acetyltransferase 10,NAT10,sp|Q9H0A0|NAT10_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2;tr|A0A087WV29|A0A087WV29_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=1,3,3,3.1,1025
POLD2,-1.443524241,0.0788620976010653,0,P49005;F8W8R3;A0A087WWF6;C9JHC7;C9IZD2;C9J8Z7;C9JLE1;H7C1B3,P49005;F8W8R3;A0A087WWF6;C9JHC7,5;5;5;4;2;2;2;1,5;5;5;4;2;2;2;1,5;5;5;4;2;2;2;1,DNA polymerase delta subunit 2,POLD2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,5,5,12.6,469
HYOU1,-0.0974513843,0.533837578845295,0,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039;J3KTF1;A0A087WW13;Q9BST8;J3QQH7;J3QLE9;J3QL06,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039,10;10;10;10;10;10;2;1;1;1;1;1,10;10;10;10;10;10;2;1;1;1;1;1,10;10;10;10;10;10;2;1;1;1;1;1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|E9PJ21|E9PJ21_HUMAN Hypoxia up-regulated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087WWI4|A0A087WWI4_HUMAN Hypoxia up-regulated ,10,10,14,999
