Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF17-N1,Intensity DCAF17-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.15692208665737,4.02835033526782,24.1592326418786,23.8951332269207
P11310;Q5T4U5;E9PQA8;E9PLN7;E9PRX4;E9PJM9;B7Z9I1,P11310;Q5T4U5;E9PQA8;E9PLN7;E9PRX4;E9PJM9;B7Z9I1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,2;2;1;1;1;1;1,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,"sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;tr|Q5T4U5|Q5T4U5_HUMAN Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain, isoform CRA_a OS=Homo sapiens OX=9606 GN=ACADM PE",2,2,9.0,4.15692208665737,4.02835033526782,25.0241143108677,24.1330456072923
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,4.15692208665737,4.02835033526782,30.652154860577,30.463339894737
P68133;P68032;P62736;P63267;A6NL76;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6,P68133;P68032;P62736;P63267;A6NL76,12;12;10;10;9;5;5;5;5;5,2;2;1;1;2;1;1;1;1;1,2;2;1;1;2;1;1;1;1;1,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA1;ACTC1;ACTA2;ACTG2,"sp|P68133|ACTS_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;sp|P62736|ACTA_HUMAN Actin, aortic smooth muscle OS=Homo sapiens OX=9",12,2,28.4,23.4987489163609,23.415007185826,28.917353594158,28.4595146682324
P55265,P55265,27,27,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,27,2,30.1,4.15692208665737,4.02835033526782,30.2223938094815,29.6924714405868
Q9Y4W6,Q9Y4W6,3,2,2,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,3,2,3.1,4.15692208665737,4.02835033526782,23.8906895511704,24.2341516605763
J3KNS1;Q9UPW5,J3KNS1;Q9UPW5,2;1,2;1,2;1,Cytosolic carboxypeptidase 1,AGTPBP1,tr|J3KNS1|J3KNS1_HUMAN Cytosolic carboxypeptidase 1 OS=Homo sapiens OX=9606 GN=AGTPBP1 PE=1 SV=1;sp|Q9UPW5|CBPC1_HUMAN Cytosolic carboxypeptidase 1 OS=Homo sapiens OX=9606 GN=AGTPBP1 PE=1 SV=3,2,2,3.2,25.290979849771,24.7807171683527,22.0499282952772,23.2198313306766
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,4.15692208665737,4.02835033526782,26.6035695268123,26.3900490072837
Q13155;A8MU58,Q13155;A8MU58,2;2,2;2,2;2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,2,2,15.0,4.15692208665737,4.02835033526782,27.0573436369337,23.4402507487947
H7C0V5,H7C0V5,6,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,6,2,18.6,4.15692208665737,4.02835033526782,22.7074829937707,24.4367608419954
