Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity TLE1-N1,Intensity TLE1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.55156783181132,4.41900817165282,24.1592326418786,23.7974347428145
Q8IUA7;H0Y4U7,Q8IUA7;H0Y4U7,2;2,2;2,2;2,ATP-binding cassette sub-family A member 9,ABCA9,sp|Q8IUA7|ABCA9_HUMAN ATP-binding cassette sub-family A member 9 OS=Homo sapiens OX=9606 GN=ABCA9 PE=1 SV=1;tr|H0Y4U7|H0Y4U7_HUMAN ATP-binding cassette sub-family A member 9 OS=Homo sapiens OX=9606 GN=ABCA9 PE=1 SV=2,2,2,2.2,28.2034650529719,27.2798541111754,4.43729856701432,4.39899271413031
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.55156783181132,4.41900817165282,25.4010964315382,25.3548105652978
Q9NYB9;E7EW77;E7EP65;F8WAL6;E9PEZ7;A0A0C4DG21;B7Z836;E7EUA1;F8WAU3;F8WCD7;F8WAZ8;F8WBL5;F8WEB9;H0Y6B5,Q9NYB9;E7EW77;E7EP65;F8WAL6;E9PEZ7;A0A0C4DG21;B7Z836,4;4;4;4;3;3;2;1;1;1;1;1;1;1,2;2;2;2;1;1;0;1;1;1;1;1;1;0,2;2;2;2;1;1;0;1;1;1;1;1;1;0,Abl interactor 2,ABI2,sp|Q9NYB9|ABI2_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EW77|E7EW77_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EP65|E7EP65_HUMAN Abl interactor 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;t,4,2,9.4,28.3325333696513,28.1281461077377,22.4577876538986,22.8811221778843
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,25.3915574852109,23.8734260883276,30.652154860577,30.463339894737
P55265,P55265,28,28,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,28,2,31.6,25.987393269459,24.6770210524559,30.2405901012697,29.856633374074
Q9Y4W6;K7EP56,Q9Y4W6,3;1,2;1,2;1,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,3,2,4.9,4.55156783181132,4.41900817165282,23.8906895511704,23.405744994969
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,4.55156783181132,4.41900817165282,26.6035695268123,26.3900490072837
E7ET48;Q8N1P7;E9PIR9;E7EX92,E7ET48;Q8N1P7;E9PIR9;E7EX92,2;2;2;1,2;2;2;1,2;2;2;1,Absent in melanoma 1-like protein,AIM1L,tr|E7ET48|E7ET48_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=1 SV=2;sp|Q8N1P7|CRBG2_HUMAN Beta/gamma crystallin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CRYBG2 PE=2 SV=2;tr|E9PIR9|E9PIR9_HUMAN,2,2,1.4,4.55156783181132,4.41900817165282,24.3118824352119,26.5821895409773
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,4.55156783181132,4.41900817165282,22.7074829937707,24.4367608419954
E9PNY8,E9PNY8,4,2,2,,ARFGAP2,tr|E9PNY8|E9PNY8_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1,4,2,48.2,23.8029194099582,23.4507626731215,24.8949406630435,23.8596545894472
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.55156783181132,4.41900817165282,23.3003369184145,21.8010452032896
P52565;J3QQX2;J3KTF8;J3KRE2,P52565;J3QQX2;J3KTF8;J3KRE2,2;2;2;1,2;2;2;1,2;2;2;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,2,2,14.2,4.55156783181132,4.41900817165282,25.99595566793,26.137156577394
Q8TER5,Q8TER5,2,2,2,Rho guanine nucleotide exchange factor 40,ARHGEF40,sp|Q8TER5|ARH40_HUMAN Rho guanine nucleotide exchange factor 40 OS=Homo sapiens OX=9606 GN=ARHGEF40 PE=1 SV=3,2,2,1.3,24.9681910223164,24.1324965918035,23.7253827098029,23.2415014201461
P36404;V9GYD0,P36404;V9GYD0,2;1,2;1,2;1,ADP-ribosylation factor-like protein 2,ARL2;ARL2-SNX15,sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4;tr|V9GYD0|V9GYD0_HUMAN ARL2-SNX15 readthrough (NMD candidate) OS=Homo sapiens OX=9606 GN=ARL2-SNX15 PE=3 SV=1,2,2,10.9,4.55156783181132,4.41900817165282,26.9762826524555,26.5916357922548
P36405,P36405,2,2,2,ADP-ribosylation factor-like protein 3,ARL3,sp|P36405|ARL3_HUMAN ADP-ribosylation factor-like protein 3 OS=Homo sapiens OX=9606 GN=ARL3 PE=1 SV=2,2,2,12.1,4.55156783181132,4.41900817165282,24.0349822801732,24.4864643447432
O75915;F8WF90;C9JQU6;F8WF33,O75915;F8WF90;C9JQU6;F8WF33,2;2;2;2,2;2;2;2,2;2;2;2,PRA1 family protein 3,ARL6IP5,sp|O75915|PRAF3_HUMAN PRA1 family protein 3 OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|F8WF90|F8WF90_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1;tr|C9JQU6|C9JQU6_HUMAN PRA1 family protein OS=Homo sapiens OX=9606 GN=ARL6IP5 P,2,2,12.2,4.55156783181132,4.41900817165282,23.1513256667458,23.1719592297095
R4GN08;P59998;F8WDD7;F8WCF6;A0A0A6YYG9,R4GN08;P59998;F8WDD7;F8WCF6;A0A0A6YYG9,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Actin-related protein 2/3 complex subunit 4,ARPC4;ARPC4-TTLL3,tr|R4GN08|R4GN08_HUMAN Actin-related protein 2/3 complex subunit 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=1;sp|P59998|ARPC4_HUMAN Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3;tr|F8WDD7|F8WDD7_HUMAN Act,2,2,20.8,4.55156783181132,4.41900817165282,25.8785099240845,25.6566103100631
H7C5W9;P16615,H7C5W9;P16615,2;1,2;1,2;1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,tr|H7C5W9|H7C5W9_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1;sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,2,2,3.3,4.55156783181132,4.41900817165282,24.0383356317693,21.1735307515394
P20020;P23634,P20020;P23634,5;3,5;3,2;1,Plasma membrane calcium-transporting ATPase 1;Plasma membrane calcium-transporting ATPase 4,ATP2B1;ATP2B4,sp|P20020|AT2B1_HUMAN Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=4;sp|P23634|AT2B4_HUMAN Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens OX=9606 GN=ATP2B4 PE=1 SV=2,5,2,5.8,4.55156783181132,4.41900817165282,24.0099222209353,25.1044560668272
P21281;H0YC04;E5RGH6,P21281;H0YC04;E5RGH6,2;2;1,2;2;1,2;2;1,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,"sp|P21281|VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3;tr|H0YC04|H0YC04_HUMAN V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=1;tr|E5RGH6|E5RGH6",2,2,6.1,4.55156783181132,4.41900817165282,24.1196529398853,25.2221772795685
Q13535;A0A590UJ01,Q13535;A0A590UJ01,2;2,2;2,2;2,Serine/threonine-protein kinase ATR,ATR,sp|Q13535|ATR_HUMAN Serine/threonine-protein kinase ATR OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=3;tr|A0A590UJ01|A0A590UJ01_HUMAN Serine/threonine-protein kinase ATR (Fragment) OS=Homo sapiens OX=9606 GN=ATR PE=1 SV=1,2,2,1.1,27.0194579640975,26.3131980363578,24.6078188679506,24.4122860785656
Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,Q9NWV8;M0QYV1;M0R3F4;M0R2A4;M0R2K3;M0R193;M0R0I0;M0R2I2;J3KQS6,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,BRISC and BRCA1-A complex member 1,BABAM1,sp|Q9NWV8|BABA1_HUMAN BRISC and BRCA1-A complex member 1 OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0QYV1|M0QYV1_HUMAN BRISC and BRCA1-A complex member 1 (Fragment) OS=Homo sapiens OX=9606 GN=BABAM1 PE=1 SV=1;tr|M0R3F4|M0R3F4_HUMAN BRISC and BRCA1-A c,2,2,5.8,4.55156783181132,4.41900817165282,23.1558249845697,24.2188931003175
O75934,O75934,2,2,2,Pre-mRNA-splicing factor SPF27,BCAS2,sp|O75934|SPF27_HUMAN Pre-mRNA-splicing factor SPF27 OS=Homo sapiens OX=9606 GN=BCAS2 PE=1 SV=1,2,2,11.6,24.9438243568165,23.9128732596874,23.2085415881129,23.0141349203956
Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,Q92843;G3V3B7;G3V3G8;G3V5A9;G3V4B7,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Bcl-2-like protein 2,BCL2L2,sp|Q92843|B2CL2_HUMAN Bcl-2-like protein 2 OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=2;tr|G3V3B7|G3V3B7_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=BCL2L2 PE=1 SV=1;tr|G3V3G8|G3V3G8_HUMAN Bcl-2-like protein 2 (Fragment) OS=Homo sapiens,2,2,16.6,25.2571348778756,24.2828435305459,25.7820429794854,25.5113822922466
Q5H9F3,Q5H9F3,23,23,2,BCL-6 corepressor-like protein 1,BCORL1,sp|Q5H9F3|BCORL_HUMAN BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1,23,2,17.7,29.3601799877913,29.0815188710052,4.43729856701432,4.39899271413031
Q5T5X7,Q5T5X7,2,2,2,BEN domain-containing protein 3,BEND3,sp|Q5T5X7|BEND3_HUMAN BEN domain-containing protein 3 OS=Homo sapiens OX=9606 GN=BEND3 PE=1 SV=1,2,2,2.7,24.8657547889836,24.1566477824175,4.43729856701432,4.39899271413031
Q9NSY1;K4DI97;H0Y9P1,Q9NSY1;K4DI97;H0Y9P1,4;2;2,2;0;2,2;0;2,BMP-2-inducible protein kinase,BMP2K,sp|Q9NSY1|BMP2K_HUMAN BMP-2-inducible protein kinase OS=Homo sapiens OX=9606 GN=BMP2K PE=1 SV=2;tr|K4DI97|K4DI97_HUMAN BMP-2-inducible protein kinase OS=Homo sapiens OX=9606 GN=BMP2K PE=1 SV=1;tr|H0Y9P1|H0Y9P1_HUMAN BMP-2-inducible protein kinase (Fragment,4,2,3.9,24.7614688559508,24.2391495254664,4.43729856701432,4.39899271413031
Q6ZN30;F5H586;H0Y6W5;B1APH0;Q01954;Q06HB9;A0A1B0GX98;F5GY04,Q6ZN30;F5H586;H0Y6W5;B1APH0;Q01954;Q06HB9;A0A1B0GX98;F5GY04,2;2;2;2;1;1;1;1,2;2;2;2;1;1;1;1,2;2;2;2;1;1;1;1,Zinc finger protein basonuclin-2;Zinc finger protein basonuclin-1,BNC2;BNC1,sp|Q6ZN30|BNC2_HUMAN Zinc finger protein basonuclin-2 OS=Homo sapiens OX=9606 GN=BNC2 PE=1 SV=1;tr|F5H586|F5H586_HUMAN Zinc finger protein basonuclin-2 OS=Homo sapiens OX=9606 GN=BNC2 PE=1 SV=2;tr|H0Y6W5|H0Y6W5_HUMAN Zinc finger protein basonuclin-2 (Fragm,2,2,2.1,24.822355709535,24.5932041716601,4.43729856701432,4.39899271413031
