Gene_names,TLE3_vs_BirA_logFC,TLE3_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_TLE3_N1,Peptides_TLE3_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_TLE3_N1,Razor___unique_peptides_TLE3_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_TLE3_N1,Unique_peptides_TLE3_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_TLE3_N1,Identification_type_TLE3_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_TLE3_N1,Ratio_H_L_TLE3_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_TLE3_N1,Ratio_H_L_normalized_TLE3_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____TLE3_N1,Ratio_H_L_variability_____TLE3_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_TLE3_N1,Ratio_H_L_count_TLE3_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_TLE3_N1,Ratio_H_L_iso_count_TLE3_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_TLE3_N1,Ratio_H_L_type_TLE3_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_TLE3_N1____,Sequence_coverage_TLE3_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_TLE3_N1,Intensity_L_TLE3_N1,Intensity_H_TLE3_N1,Intensity_TLE3_N2,Intensity_L_TLE3_N2,Intensity_H_TLE3_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_TLE3_N1,metacell_Intensity_L_TLE3_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-1.18008120873901,0.00998992846846564,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;P24941;Q00526;K7ELV5;E7ESI2;G3V5T9;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,14;14;9;8;2;2;2;2;2;1,14;14;9;8;2;2;2;2;2;1,13;13;8;7;1;1;1;1;1;1,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",10,14,14,13,11,11,7,8,11,11,7,8,10,10,6,7,52.2,52.2,49.5,34.095,297,297;297;224;189;298;305;164;238;346;39,0.0,19.096,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59818,1.9171,26.68,43,7,Leave out requantified,0.64048,0.73456,0.50666,0.5333,2.3004,2.0284,1.1257,1.2374,24.043,11.96,34.124,20.28,12,12,9,10,1,1,2,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.7,38.7,26.9,34.3,2879400000,1749700000,1129800000,592900000,339920000,252980000,707270000,409400000,297870000,635870000,413760000,222120000,943390000,586600000,356790000,,,,0,610;1367;8169;8170;9047;10061;10334;13370;13465;13466;13612;13950;17728;22054,True;True;True;True;True;True;True;True;True;True;True;True;True;True,645;1480;9025;9026;10000;11112;11423;14738;14842;14843;15001;15366;19422;24144,1674;1675;1676;1677;3976;3977;3978;23280;23281;23282;23283;23284;25898;25899;28762;28763;29616;29617;29618;29619;29620;29621;29622;29623;29624;29625;38140;38398;38399;38400;38401;38402;38403;38831;38832;39731;39732;39733;39734;50070;50071;50072;62512;62513,3085;3086;3087;3088;3089;7498;7499;7500;44717;44718;44719;44720;44721;44722;44723;44724;44725;44726;44727;49762;49763;49764;49765;55157;56648;56649;56650;56651;56652;56653;56654;56655;56656;56657;56658;56659;56660;56661;56662;56663;56664;56665;72733;73247;73248;73249;73250;73251;73252;73253;73254;73255;73256;73257;74009;74010;74011;74012;74013;74014;75653;75654;75655;75656;75657;75658;75659;75660;94875;94876;94877;94878;94879;94880;119476,3088;7498;44718;44727;49765;55157;56657;72733;73254;73257;74014;75654;94879;119476,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,-0.147970874492934,0.674621410377109,Q00341;A0A024R4E5;C9JHS7;H0Y394;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JT62;C9JK79;H7C0A4;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7BZC3;H7C2D1;C9JHS9,Q00341;A0A024R4E5;C9JHS7;H0Y394;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8,8;8;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1,8;8;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1,8;8;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHS7|C9JHS7_HUMAN Vigilin (Fragment) O",21,8,8,8,3,4,6,4,3,4,6,4,3,4,6,4,8.9,8.9,8.9,141.45,1268,1268;1268;126;973;224;221;164;147;141;96;128;332;81;79;69;53;46;19;267;308;17,0.0,12.826,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.8784,2.0918,23.361,17,3,Leave out requantified,0.70857,0.98858,0.86507,0.88444,2.2744,2.547,2.151,2.0343,35.092,19.513,12.973,13.789,3,4,6,4,0,1,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,2.8,4.0,7.3,4.7,718030000,358170000,359860000,82838000,47807000,35031000,103830000,48663000,55162000,289600000,143220000,146380000,241770000,118480000,123290000,,,,3,620;2142;7934;13099;14283;17019;18023;20516,True;True;True;True;True;True;True;True,657;2324;8779;14438;15722;18648;19736;22448,1705;1706;6325;6326;6327;22674;37353;37354;40663;40664;48003;48004;50907;50908;50909;50910;50911;58093,3159;3160;3161;3162;3163;3164;12386;12387;43619;71146;71147;77305;90899;96342;96343;96344;96345;96346;96347;96348;96349;96350;110838,3164;12386;43619;71147;77305;90899;96348;110838,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
PSMA2,-1.21831398496497,0.0356659996164211,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,10;10;4;3;1,10;10;4;3;1,10;10;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,10,10,10,8,9,4,6,8,9,4,6,8,9,4,6,54.3,54.3,54.3,25.898,234,234;234;164;48;36,0.0,22.131,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34484,0.98038,13.253,28,5,Leave out requantified,0.2832,0.35815,0.37456,0.37945,0.91895,0.99766,0.97507,0.98038,20.977,11.69,32.958,40.222,8,9,4,7,1,1,2,1,Leave out requantified,Leave out requantified,Median,Leave out requantified,41.5,46.2,30.3,44.4,2786600000,2048800000,737780000,483000000,371200000,111810000,657960000,486650000,171310000,510530000,359240000,151280000,1135100000,831740000,303380000,,,,4,186;536;1985;7323;7482;9886;12973;13201;17190;22758,True;True;True;True;True;True;True;True;True;True,198;569;2159;8049;8242;8243;10919;14306;14557;18837;24906,499;1474;1475;5858;5859;20738;20739;20740;20741;20742;20743;21239;21240;21241;21242;28270;28271;28272;28273;37015;37016;37017;37018;37672;37673;37674;37675;48503;48504;64404,968;2750;2751;11492;39823;39824;39825;39826;39827;39828;39829;39830;39831;39832;39833;39834;39835;39836;40802;40803;40804;40805;40806;40807;40808;40809;54345;54346;70534;71807;71808;71809;71810;71811;71812;71813;71814;71815;71816;91858;91859;91860;91861;91862;123013;123014,968;2750;11492;39836;40802;54345;70534;71814;91862;123013,,,,,-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
FILIP1,-22.1911982262365,2.00758213817892e-07,Q7Z7B0;A0A075B6G6,Q7Z7B0;A0A075B6G6,2;2,2;2,2;2,Filamin-A-interacting protein 1,"sp|Q7Z7B0|FLIP1_HUMAN Filamin-A-interacting protein 1 OS=Homo sapiens OX=9606 GN=FILIP1 PE=1 SV=1;tr|A0A075B6G6|A0A075B6G6_HUMAN Filamin A interacting protein 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=FILIP1 PE=1 SV=1",2,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,2.2,2.2,2.2,138.11,1213,1213;1114,0.026325,0.78271,By MS/MS,By MS/MS,,,0.030648,0.095933,286.29,3,2,Median,0.31138,0.030648,,,1.1114,0.085383,,,346.44,,,,2,1,0,0,1,1,0,0,Median,Median,Median,Median,2.2,1.2,0.0,0.0,187700000,141290000,46406000,133700000,90578000,43125000,53997000,50716000,3281500,0,0,0,0,0,0,,,,6,13933;21287,True;True,15348;23316,39685;60380;60381,75572;75573;115421;115422;115423,75572;115422,,,,,-1;-1,protein_7,imputed MEC,imputed MEC,quanti,quanti
TAF15,1.30384441662878,0.0216104076425446,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,4,4,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,6.0668,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39832,1.1501,8.9006,11,1,Leave out requantified,0.31464,0.44007,0.37633,0.41446,1.1343,1.3016,1.1017,1.0947,,2.5173,64.131,11.5,1,2,4,4,0,0,0,1,Median,Median,Median,Median,2.9,2.9,8.3,8.3,2788000000,2008700000,779240000,115510000,87691000,27820000,244970000,161260000,83710000,1209700000,928670000,281000000,1217800000,831110000,386710000,,,,8,118;119;5899;16968,False;True;False;True,123;124;6418;18596,290;291;292;293;294;295;296;297;298;16429;16430;47861;47862;47863;47864,579;580;581;582;583;584;585;586;587;588;589;590;591;592;593;594;31692;31693;90675;90676;90677;90678;90679;90680;90681,581;592;31692;90677,,,,,-1;-1;-1,protein_9,quanti,quanti,quanti,quanti
TXNRD1,-1.1903545276175,0.0115896825457842,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,16,16,16,11,16,10,8,11,16,10,8,11,16,10,8,34.2,34.2,34.2,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,78.267,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.265,0.76311,17.835,52,14,Leave out requantified,0.2047,0.31134,0.29148,0.27439,0.71201,0.87662,0.81025,0.7385,22.365,18.504,29.889,78.881,13,18,11,10,3,7,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.0,34.2,24.0,21.4,4837600000,3709700000,1127900000,919710000,753310000,166400000,1149300000,831230000,318120000,1098600000,833710000,264920000,1669900000,1291400000,378510000,,,,9,3987;5116;5960;8217;9961;10222;10249;13825;15615;15616;21128;21670;21714;21861;22018;22632,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4325;5552;6490;9079;11004;11293;11324;15228;17153;17154;23144;23726;23777;23940;24105;24767,11287;11288;14252;14253;14254;14255;14256;14257;16606;16607;23421;23422;28505;28506;28507;28508;29259;29343;29344;29345;29346;29347;29348;29349;29350;39387;39388;44283;44284;44285;44286;44287;44288;59962;59963;59964;59965;61408;61569;61570;61571;61572;61990;61991;61992;62402;62403;62404;62405;64071;64072;64073,21881;21882;21883;27381;27382;27383;27384;27385;27386;27387;27388;32043;45006;45007;54761;54762;54763;54764;54765;55937;56080;56081;56082;56083;56084;56085;56086;56087;56088;56089;56090;56091;56092;75052;75053;75054;84327;84328;84329;84330;84331;84332;84333;84334;84335;84336;84337;84338;114538;114539;114540;114541;114542;114543;114544;114545;114546;114547;114548;117309;117651;117652;117653;117654;117655;117656;117657;117658;117659;117660;117661;118502;118503;118504;118505;118506;118507;118508;119270;119271;119272;119273;119274;119275;119276;119277;119278;119279;119280;119281;119282;119283;122351;122352,21883;27385;32043;45006;54763;55937;56092;75052;84330;84338;114547;117309;117661;118502;119273;122351,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
HMOX2,1.96172321097932,0.0151063654933908,P30519;A0A087WT44;I3L159;I3L1F5;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;A0A087WT44;I3L159;I3L1F5,11;11;9;9;5;5;5;4;3,11;11;9;9;5;5;5;4;3,11;11;9;9;5;5;5;4;3,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,9,11,11,11,2,5,9,9,2,5,9,9,2,5,9,9,56.0,56.0,56.0,36.032,316,316;370;229;238;130;131;132;110;110,0.0,12.908,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48841,1.0859,25.946,28,7,Leave out requantified,0.40632,0.43853,0.5089,0.55726,1.2155,0.98132,1.4182,1.3367,35.561,23.688,23.544,48.489,2,5,10,11,0,1,3,3,Median,Leave out requantified,Leave out requantified,Leave out requantified,14.2,28.5,44.6,44.6,2635800000,1710300000,925540000,54541000,40610000,13931000,153820000,109690000,44131000,1281500000,836150000,445390000,1145900000,723830000,422090000,,,,11,517;595;1402;3682;8312;9367;10567;13436;14062;14731;22741,True;True;True;True;True;True;True;True;True;True;True,550;629;1519;3993;9182;10343;11684;14807;15484;16207;24888,1425;1426;1633;1634;4091;4092;4093;4094;10450;23712;23713;23714;23715;23716;23717;26779;26780;30333;30334;30335;38305;38306;40000;40001;40002;41906;41907;64358,2689;2690;2691;3022;3023;7726;7727;7728;7729;20292;45520;45521;45522;45523;45524;45525;45526;45527;45528;45529;45530;45531;45532;45533;45534;51485;58016;58017;73069;73070;76104;76105;76106;76107;79778;122922,2691;3023;7729;20292;45531;51485;58016;73070;76105;79778;122922,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
EIF2B4,-0.113799955037017,0.825556533418779,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,2,3,2,1,2,3,2,1,2,3,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,8.8058,By MS/MS,By MS/MS,By matching,By MS/MS,0.41232,1.0522,20.011,8,2,Leave out requantified,1.1583,0.43715,0.44123,0.42573,3.831,1.107,1.0663,1.0653,166.4,,21.777,19.673,2,1,2,3,1,0,0,1,Median,Median,Median,Median,4.4,2.1,5.4,7.6,385830000,230810000,155020000,75850000,34652000,41198000,32800000,23465000,9334600,87714000,51172000,36541000,189460000,121520000,67941000,,,,12,16244;20408;21469,True;True;True,17828;22328;23510,45887;45888;57779;57780;57781;57782;60840;60841,87076;110241;110242;110243;110244;110245;110246;116174;116175,87076;110241;116174,,,,,-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
NDUFS7,2.13530039850139,0.00792953078172036,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,3,3,3,1,1,2,2,1,1,2,2,1,1,2,2,16.0,16.0,16.0,23.563,213,213;182;214;214;236,0.0,12.974,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.81153,2.1555,47.416,7,3,Leave out requantified,0.57883,0.59369,0.74067,0.91896,1.3537,1.2412,2.0621,2.3865,,,29.742,14.395,1,1,3,2,0,0,2,1,Median,Median,Median,Median,5.2,5.2,10.8,10.8,482540000,265980000,216560000,14775000,8271000,6504300,17203000,9797200,7405800,279720000,160850000,118880000,170840000,87069000,83771000,,,,14,10649;15987;22299,True;True;True,11776;17551;24402,30613;30614;45235;45236;45237;63143;63144,58612;58613;85911;85912;85913;85914;85915;120613,58612;85911;120613,,,,,-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
KHSRP,-0.405792865482304,0.216475229152858,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,19;19;11;8;5;2,17;17;9;6;4;2,17;17;9;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,19,17,17,12,14,15,15,10,13,15,15,10,13,15,15,38.0,35.4,35.4,73.114,711,711;711;279;169;116;269,0.0,60.314,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5011,1.4199,16.459,52,7,Leave out requantified,0.39889,0.4807,0.54564,0.57381,1.412,1.338,1.521,1.5394,14.577,13.055,23.421,18.658,10,13,14,15,1,2,1,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,32.5,32.5,7590300000,4804800000,2785400000,976380000,671810000,304580000,1227700000,806910000,420750000,2689200000,1657400000,1031800000,2697000000,1668700000,1028300000,,,,15,831;832;1085;2848;6094;6095;6106;7672;7805;8182;8186;8369;8404;9889;13843;14043;18265;19422;21314,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,885;886;1166;3084;6650;6651;6664;8478;8641;8642;9040;9044;9244;9285;10922;15248;15462;19991;21247;23344,2322;2323;2324;2325;2326;3093;3094;3095;3096;8275;8276;8277;17077;17078;17079;17118;17119;21901;21902;21903;21904;22315;22316;23319;23320;23321;23322;23329;23330;23331;23332;23884;23885;23998;23999;24000;24001;28279;28280;39431;39432;39433;39434;39958;39959;39960;39961;51603;51604;51605;51606;54914;54915;54916;54917;60448;60449;60450,4290;4291;4292;4293;4294;4295;4296;4297;4298;4299;4300;4301;4302;4303;4304;4305;5848;5849;5850;5851;5852;5853;5854;5855;16058;16059;16060;16061;33120;33121;33122;33192;42190;42191;42192;42193;42194;42195;42196;42197;42958;42959;42960;44796;44797;44798;44799;44800;44801;44802;44803;44808;44809;44810;44811;44812;44813;44814;44815;44816;45853;45854;45855;46113;46114;46115;46116;46117;46118;46119;46120;46121;46122;54358;54359;54360;54361;54362;75129;75130;75131;75132;75133;75134;75135;75136;75137;75138;75139;75140;75141;75142;75143;75144;75145;76038;76039;76040;76041;76042;76043;76044;76045;76046;76047;97649;97650;97651;97652;97653;97654;97655;97656;97657;97658;97659;104257;104258;104259;104260;104261;104262;104263;104264;104265;104266;104267;115528;115529;115530;115531;115532,4290;4300;5849;16058;33120;33122;33192;42195;42959;44803;44809;45853;46118;54359;75144;76038;97649;104267;115531,,,,,-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
