Gene_names,FBXW5_vs_BirA_logFC,FBXW5_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_FBXW5_N1,Peptides_FBXW5_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_FBXW5_N1,Razor___unique_peptides_FBXW5_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_FBXW5_N1,Unique_peptides_FBXW5_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_FBXW5_N1,Identification_type_FBXW5_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_FBXW5_N1,Ratio_H_L_FBXW5_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_FBXW5_N1,Ratio_H_L_normalized_FBXW5_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____FBXW5_N1,Ratio_H_L_variability_____FBXW5_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_FBXW5_N1,Ratio_H_L_count_FBXW5_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_FBXW5_N1,Ratio_H_L_iso_count_FBXW5_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_FBXW5_N1,Ratio_H_L_type_FBXW5_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_FBXW5_N1____,Sequence_coverage_FBXW5_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_FBXW5_N1,Intensity_L_FBXW5_N1,Intensity_H_FBXW5_N1,Intensity_FBXW5_N2,Intensity_L_FBXW5_N2,Intensity_H_FBXW5_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_FBXW5_N1,metacell_Intensity_L_FBXW5_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-1.80305469703407,0.0390281759247986,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,13;13;8;7;2;2;2;1,13;13;8;7;2;2;2;1,11;11;6;5;0;0;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",8,13,13,11,11,11,3,8,11,11,3,8,9,9,2,7,47.5,47.5,44.8,34.095,297,297;297;224;189;305;164;238;39,0.0,19.088,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.68779,1.9636,21.505,38,7,Leave out requantified,0.64048,0.73456,0.49095,0.68306,2.3004,2.0284,1.1243,1.6532,24.043,11.96,29.641,6.2846,12,12,4,10,1,1,1,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.7,38.7,8.8,34.0,2236900000,1302800000,934080000,592900000,339920000,252980000,707270000,409400000,297870000,195960000,122900000,73057000,740760000,430590000,310170000,,,,0,578;1301;7693;7694;8518;9513;9780;12788;12789;12930;13253;16710;20824,True;True;True;True;True;True;True;True;True;True;True;True;True,658;1507;9130;9131;10112;11310;11654;15154;15155;15310;15675;19622;24412,1582;1583;1584;1585;3774;3775;3776;21991;21992;21993;21994;24462;24463;27304;27305;28154;28155;28156;28157;28158;28159;28160;28161;28162;36637;36638;36639;36640;36641;37024;37025;37887;37888;37889;47281;47282;47283;47284;47285;59038;59039,2932;2933;2934;2935;2936;7107;7108;7109;7110;7111;41795;41796;41797;41798;41799;41800;41801;41802;41803;41804;46481;46482;46483;46484;51754;51755;53217;53218;53219;53220;53221;53222;53223;53224;53225;53226;53227;53228;53229;53230;53231;53232;53233;68863;68864;68865;68866;68867;68868;68869;68870;69542;69543;69544;69545;69546;69547;71147;71148;71149;71150;71151;71152;71153;88523;88524;88525;88526;88527;88528;88529;88530;111747;111748;111749,2936;7108;41796;41804;46484;51754;53226;68868;68870;69547;71148;88527;111749,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,-0.0185896905067153,0.960340819101842,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",19,6,6,6,3,4,4,4,3,4,4,4,3,4,4,4,6.2,6.2,6.2,141.45,1268,1268;1268;224;141;973;332;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,13.66,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.84534,2.1182,30.509,15,1,Leave out requantified,0.70857,0.98858,0.79334,0.88011,2.2744,2.547,2.0671,2.1295,35.092,19.513,22.59,22.626,3,4,4,4,0,1,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,2.8,4.0,4.5,4.5,561170000,302700000,258480000,82838000,47807000,35031000,103830000,48663000,55162000,168700000,91556000,77149000,205800000,114670000,91134000,,,,2,588;1892;2044;12434;16064;17004,True;True;True;True;True;True,669;2201;2368;14736;18878;19942,1611;1612;5575;5576;6010;6011;6012;35610;35611;45424;45425;48055;48056;48057;48058,2999;3000;3001;3002;3003;10703;10704;11552;66864;66865;84909;89869;89870;89871;89872;89873;89874;89875;89876,3001;10704;11552;66865;84909;89872,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-1.77193433883654,0.0575729518522463,P25787;A0A024RA52;H3BT36;C9JCK5;H7C402,P25787;A0A024RA52,8;8;3;3;1,8;8;3;3;1,8;8;3;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,8,8,8,8,8,2,5,8,8,2,5,8,8,2,5,41.5,41.5,41.5,25.898,234,234;234;48;164;36,0.0,16.978,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34386,0.95509,12.254,25,5,Leave out requantified,0.2832,0.35815,0.27212,0.43548,0.91895,0.99766,0.74702,1.1376,20.977,11.69,7.3533,90.881,8,8,2,7,1,0,1,3,Leave out requantified,Leave out requantified,Median,Leave out requantified,41.5,41.5,15.4,36.3,2393900000,1476600000,917250000,483000000,371200000,111810000,617120000,451360000,165760000,171350000,125970000,45373000,1122400000,528070000,594310000,,,,3,508;1895;6859;7017;9346;12315;12541;16211,True;True;True;True;True;True;True;True,582;2204;8105;8306;8307;11107;14603;14869;19048,1401;1402;5581;5582;19526;19527;19528;20024;20025;20026;20027;20028;26809;26810;26811;26812;35278;35279;35280;35943;35944;35945;35946;45858;45859,2613;2614;10709;36983;36984;36985;36986;36987;36988;36989;36990;36991;37967;37968;37969;37970;37971;37972;37973;37974;37975;37976;37977;50948;50949;50950;50951;50952;66313;67560;67561;67562;67563;67564;67565;85779;85780;85781;85782;85783,2613;10709;36984;37967;50948;66313;67560;85783,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,1.01952028816784,0.161985749503828,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,7.1663,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54754,1.2699,2.0857,8,3,Leave out requantified,0.46795,0.62493,0.41982,0.57628,1.1676,1.3341,0.95253,1.4398,,9.0673,11.574,5.8048,1,2,2,3,0,0,1,2,Median,Median,Median,Median,1.1,2.0,2.0,2.0,292810000,182570000,110240000,16787000,10550000,6236800,38951000,21741000,17210000,55626000,39349000,16276000,181450000,110930000,70521000,,,,4,10836;11190,True;True,12880;13321,31165;31166;31167;32271;32272;32273;32274;32275,58916;58917;58918;58919;60888;60889;60890;60891;60892;60893;60894;60895;60896,58918;60892,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,0.536617652471996,0.265392229897229,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,4,3,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,5.2197,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37796,1.1366,8.1876,10,3,Leave out requantified,0.31464,0.44007,0.36473,0.3876,1.1343,1.3016,1.0136,1.0157,,2.5173,5.7829,49.345,1,2,3,4,0,0,1,2,Median,Median,Median,Median,2.9,2.9,8.3,8.3,1386400000,1000800000,385630000,115510000,87691000,27820000,244970000,161260000,83710000,438180000,316590000,121590000,587720000,435210000,152510000,,,,7,116;117;5502;16016,False;True;False;True,124;125;6389;18828,280;281;282;283;284;285;286;15278;15279;45292;45293;45294;45295,552;553;554;555;556;557;558;559;560;561;562;563;564;565;29037;29038;29039;84718;84719;84720,554;560;29037;84718,,,,,-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
TXNRD1,-1.3003041189014,0.0862017125974699,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;15;10;5;5;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;17;15;10;5;5;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;17;15;10;5;5;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,17,17,17,10,16,6,10,10,16,6,10,10,16,6,10,34.2,34.2,34.2,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,40.786,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29376,0.76429,19.019,47,13,Leave out requantified,0.20536,0.31134,0.3111,0.35528,0.72991,0.87662,0.74646,0.94897,22.836,18.504,22.741,18.479,12,18,6,11,3,7,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.4,34.2,14.8,20.0,4207400000,3172800000,1034600000,894700000,733610000,161090000,1149300000,831230000,318120000,497850000,378740000,119110000,1665500000,1229200000,436320000,,,,8,3723;4750;5561;7736;9422;9672;9700;11491;13125;14824;14825;19956;20465;20507;20639;20792;21391,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4340;5520;6463;9183;11205;11517;11555;11556;13663;15530;17451;17452;23396;23978;24042;24205;24375;25062,10611;10612;13257;13258;13259;13260;13261;13262;15452;22119;22120;27061;27062;27807;27901;27902;27903;27904;27905;27906;27907;33093;37547;37548;37549;42144;42145;42146;42147;42148;56568;56569;56570;56571;57961;58130;58131;58132;58133;58533;58534;58535;58943;58944;58945;58946;60551,20226;20227;20228;25075;25076;25077;25078;25079;25080;25081;25082;25083;25084;25085;29367;42077;42078;51385;51386;51387;52571;52718;52719;52720;52721;52722;52723;52724;52725;52726;52727;52728;52729;62523;70556;70557;70558;70559;79201;79202;79203;79204;79205;79206;79207;79208;79209;79210;107010;107011;107012;107013;107014;107015;107016;107017;109716;110077;110078;110079;110080;110081;110082;110083;110084;110085;110867;110868;110869;110870;110871;110872;111558;111559;111560;111561;111562;111563;111564;111565;111566;111567;111568;111569;111570;111571;114394;114395,20228;25079;29367;42077;51385;52571;52724;62523;70559;79204;79210;107016;109716;110079;110867;111560;114395,0,,274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_9,quanti,quanti,quanti,quanti
HMOX2,1.13364592823242,0.0977736649215555,P30519;I3L159;I3L1F5;A0A087WT44;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,7;7;7;7;3;3;3;2;1,7;7;7;7;3;3;3;2;1,7;7;7;7;3;3;3;2;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,9,7,7,7,2,5,5,5,2,5,5,5,2,5,5,5,37.0,37.0,37.0,36.032,316,316;229;238;370;130;131;132;110;110,0.0,9.1701,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45836,1.0139,19.413,18,4,Leave out requantified,0.40632,0.43853,0.45836,0.49435,1.2155,0.98132,1.2278,1.1723,35.561,23.688,11.148,41.43,2,5,5,6,0,1,2,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,14.2,28.5,25.6,25.6,1154100000,785580000,368500000,54541000,40610000,13931000,153820000,109690000,44131000,396730000,277700000,119030000,548990000,357590000,191410000,,,,10,1335;3442;7828;12758;13344;13999;21502,True;True;True;True;True;True;True,1550;4011;9286;9287;15118;15776;16512;25190,3895;3896;3897;3898;9846;22385;22386;22387;22388;22389;36549;36550;38118;38119;38120;39942;39943;60838,7348;7349;18819;42535;42536;42537;42538;42539;42540;42541;42542;42543;42544;42545;42546;42547;42548;42549;42550;42551;68683;68684;71524;71525;71526;74990;74991;114942,7348;18819;42544;68684;71526;74991;114942,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
MROH2A,20.2726769750854,2.86602812058332e-06,A6NES4;A0A087WT58,A6NES4;A0A087WT58,4;4,4;4,4;4,Maestro heat-like repeat-containing protein family member 2A,sp|A6NES4|MRO2A_HUMAN Maestro heat-like repeat-containing protein family member 2A OS=Homo sapiens OX=9606 GN=MROH2A PE=4 SV=4;tr|A0A087WT58|A0A087WT58_HUMAN Maestro heat-like repeat-containing protein family member 2A OS=Homo sapiens OX=9606 GN=MROH2A PE=,2,4,4,4,0,0,1,3,0,0,1,3,0,0,1,3,4.2,4.2,4.2,189.56,1674,1674;1688,0.039932,0.6183,,,By MS/MS,By MS/MS,0.73204,1.8076,70.281,4,1,Leave out requantified,,,0.73204,0.41649,,,1.8076,1.1124,,,,137.42,0,0,1,3,0,0,0,1,Median,Median,Median,Median,0.0,0.0,1.4,2.9,184950000,112870000,72077000,0,0,0,0,0,0,40255000,22008000,18247000,144690000,90861000,53830000,,,,11,2383;4770;19283;20396,True;True;True;True,2758;5543;22552;23898,6992;13314;54472;57753,13477;25191;102832;109307,13477;25191;102832;109307,,,,,-1;-1,protein_12,quanti,quanti,imputed MEC,imputed MEC
KHSRP,-0.306440062605628,0.450121457620739,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,20;20;11;8;5;2,18;18;9;6;4;2,18;18;9;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,20,18,18,12,13,15,15,10,12,14,14,10,12,14,14,38.8,36.3,36.3,73.114,711,711;711;279;169;116;269,0.0,75.826,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47428,1.3498,23.353,51,7,Leave out requantified,0.39889,0.4807,0.515,0.51165,1.412,1.338,1.4837,1.3102,14.577,13.055,27.874,25.684,10,12,14,15,1,1,2,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,30.5,32.5,5879400000,3953000000,1926400000,976380000,671810000,304580000,1158500000,772440000,386020000,1927100000,1300300000,626750000,1817500000,1208400000,609080000,,,,17,779;780;1020;2709;5691;5692;5703;7213;7342;7343;7704;7707;7879;7909;9349;13146;13326;17239;18334;20128,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,883;884;885;1168;3141;6650;6651;6664;8578;8744;8745;9143;9146;9147;9344;9381;11110;15553;15755;20201;21452;23589,2161;2162;2163;2164;2165;2166;2167;2901;2902;2903;2904;7862;7863;7864;15972;15973;15974;16015;16016;20705;20706;20707;20708;21106;21107;21108;22021;22022;22023;22024;22028;22029;22030;22031;22032;22527;22627;22628;22629;22630;26818;26819;37596;37597;37598;37599;38077;38078;38079;38080;48687;48688;51704;51705;51706;51707;57036;57037,4043;4044;4045;4046;4047;4048;4049;4050;4051;4052;4053;4054;4055;4056;4057;4058;4059;4060;4061;4062;4063;5502;5503;5504;5505;5506;5507;5508;5509;15004;15005;15006;15007;15008;30496;30497;30498;30582;39386;39387;39388;39389;39390;39391;39392;39393;40134;40135;40136;41865;41866;41867;41868;41869;41870;41871;41872;41875;41876;41877;41878;41879;41880;41881;41882;41883;41884;41885;41886;41887;41888;42836;42837;42838;43075;43076;43077;43078;43079;43080;43081;43082;50962;50963;50964;50965;50966;50967;70631;70632;70633;70634;70635;70636;70637;70638;70639;70640;70641;71457;71458;71459;71460;71461;71462;71463;71464;91075;91076;91077;91078;91079;97131;97132;97133;97134;97135;97136;97137;97138;97139;97140;107988;107989;107990;107991,4045;4056;5506;15008;30496;30498;30582;39386;40135;40136;41870;41886;42837;43081;50964;70631;71457;91075;97139;107989,2,,251,,-1;-1;-1;-1;-1;-1,protein_18,quanti,quanti,quanti,quanti
HNRNPDL,1.42307216276142,0.0165566307297837,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,40.4,40.4,40.4,6.7215,57,57,0.0,2.7161,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32527,0.86598,21.838,8,0,Leave out requantified,0.33858,0.32527,0.27651,0.29269,1.0106,0.70866,0.7473,0.74207,,46.15,0.011808,28.697,1,2,2,3,0,0,0,0,Median,Median,Median,Median,40.4,40.4,31.6,40.4,447700000,341200000,106500000,27175000,19945000,7229600,44137000,31308000,12829000,164820000,129960000,34862000,211570000,159990000,51579000,,,,22,12924;12925,True;True,15303;15304,36997;36998;36999;37000;37001;37002;37003;37004,69485;69486;69487;69488;69489;69490;69491;69492;69493;69494;69495;69496;69497;69498;69499,69490;69493,,,,,-1,protein_23,quanti,quanti,quanti,quanti
