Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DCAF7-N1,Intensity DCAF7-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,2;1;1;1,2;1;1;1,2;1;1;1,,A0A096LPI6;A0A096LNH5;P0DPI2;A0A0B4J2D5,"tr|A0A096LPI6|A0A096LPI6_HUMAN Utp12 domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2;tr|A0A096LNH5|A0A096LNH5_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B",2,2,15.8,3.80122640843825,3.8851689207087,28.8296862062645,24.9322446741749
A0A222,A0A222,37,37,37,,A0A222,sp|A0A222|BIRA_HUMAN BirA R118G OS=Homo sapiens GN=BIRA,37,37,91.9,35.3388695321707,35.9981203035551,39.8255603019921,39.9010113043095
A0A3B3ISK4;A0A3B3IUA2,A0A3B3ISK4;A0A3B3IUA2,2;2,2;2,2;2,,A0A3B3ISK4;A0A3B3IUA2,tr|A0A3B3ISK4|A0A3B3ISK4_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=4 SV=1;tr|A0A3B3IUA2|A0A3B3IUA2_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1,2,2,22.4,3.80122640843825,3.8851689207087,24.7270757920008,23.5134018395649
A0A590UK80;Q9Y468;A0A3B3ISK5;H0Y7I2;A0A3B3ITG5;A0A3B3IT75;B0QYN4;A0A3B3ISV7;A0A3B3ISP5;A0A0A0MRR4;A0A3B3ISS0;A0A3F2YNZ1,A0A590UK80,3;1;1;1;1;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1;1,,A0A590UK80,tr|A0A590UK80|A0A590UK80_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1,3,2,4.0,21.7769617733341,21.9935866356239,21.4241908978986,27.3635257570109
A0A096LP25;Q6ZSR9;A0A096LNZ0,A0A096LP25;Q6ZSR9;A0A096LNZ0,15;11;11,12;11;8,12;11;8,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,15,12,48.9,22.8691577845061,23.7525089904287,29.9179795045762,29.7599113647893
Q2M2I8;E9PG46;A0A096LP60;Q9NSY1;K4DI97,Q2M2I8;E9PG46,22;17;3;1;1,22;17;3;1;1,19;17;0;1;1,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,22,19,29.8,3.80122640843825,3.8851689207087,30.4072006838791,30.2377442112063
P49588;H3BPK7,P49588,25;7,25;7,25;7,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",25,25,32.1,22.0125953161736,22.1539712955884,28.810447146106,28.8204639932177
Q4L235;R4GNB1,Q4L235;R4GNB1,6;6,6;6,6;6,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,6,6,7.6,3.80122640843825,3.8851689207087,25.154952502708,25.9529372475839
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,3,10.7,3.80122640843825,3.8851689207087,24.8779251409578,24.397412467283
Q9NY61;A0A087WTH8;A0A087WWS8,Q9NY61;A0A087WTH8;A0A087WWS8,2;1;1,2;1;1,2;1;1,Protein AATF,AATF,sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1;tr|A0A087WTH8|A0A087WTH8_HUMAN Protein AATF (Fragment) OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1;tr|A0A087WWS8|A0A087WWS8_HUMAN Protein AATF (Fragment) OS=Homo sapiens OX=9606 GN=A,2,2,6.4,3.80122640843825,3.8851689207087,24.4504813277408,24.2705633884014
